OTU ID,kingdom,phylum,class,order,family,genus,species
OTU6339,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae,g__Iamia,s__metagenome_g__Iamia
OTU6348,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU6349,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU6354,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__unclassified_f__Micromonosporaceae,s__unclassified_f__Micromonosporaceae
OTU6355,Bacteria,p__Chloroflexi,c__Gitt-GS-136,o__norank_c__Gitt-GS-136,f__norank_o__norank_c__Gitt-GS-136,g__norank_f__norank_o__norank_c__Gitt-GS-136,s__unclassified_g__norank_f__norank_o__norank_c__Gitt-GS-136
OTU6365,Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__uncultured_bacterium_g__Candidatus_Solibacter
OTU6370,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU6371,Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__RB41,s__unclassified_g__RB41
OTU6375,Bacteria,p__Patescibacteria,c__unclassified_p__Patescibacteria,o__unclassified_p__Patescibacteria,f__unclassified_p__Patescibacteria,g__unclassified_p__Patescibacteria,s__unclassified_p__Patescibacteria
OTU6385,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__norank_f__Vicinamibacteraceae,s__unclassified_g__norank_f__Vicinamibacteraceae
OTU639,Bacteria,p__Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__metagenome_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU6392,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__uncultured_Acidobacteriales_bacterium_g__norank_f__norank_o__Vicinamibacterales
OTU6399,Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__norank_f__Propionibacteriaceae,s__uncultured_endolithic_bacterium_g__norank_f__Propionibacteriaceae
OTU6400,Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__AKYG587,s__uncultured_Planctomycetales_bacterium_g__AKYG587
OTU6407,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__Ellin6067,s__metagenome_g__Ellin6067
