OTU ID,kingdom,phylum,class,order,family,genus,species
OTU10253,Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU10255,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Amoebophilaceae,g__norank_f__Amoebophilaceae,s__uncultured_bacterium_g__norank_f__Amoebophilaceae
OTU10258,Bacteria,p__Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_o__norank_c__Parcubacteria,g__norank_f__norank_o__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Parcubacteria
OTU10259,Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__unclassified_g__norank_f__norank_o__C0119
OTU1026,Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__BIrii41,g__norank_f__BIrii41,s__uncultured_bacterium_g__norank_f__BIrii41
OTU10260,Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__unclassified_f__Parachlamydiaceae,s__unclassified_f__Parachlamydiaceae
OTU10261,Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Obscuribacterales,f__Obscuribacteraceae,g__norank_f__Obscuribacteraceae,s__uncultured_bacterium_g__norank_f__Obscuribacteraceae
OTU10263,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__unclassified_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10264,Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__norank_o__Vicinamibacterales,g__norank_f__norank_o__Vicinamibacterales,s__unclassified_g__norank_f__norank_o__Vicinamibacterales
OTU10265,Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__BIrii41,g__norank_f__BIrii41,s__uncultured_bacterium_g__norank_f__BIrii41
OTU10266,Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__C0119,f__norank_o__C0119,g__norank_f__norank_o__C0119,s__uncultured_bacterium_g__norank_f__norank_o__C0119
OTU10267,Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__unclassified_g__norank_f__A4b
OTU10268,Bacteria,p__Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU10269,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__unclassified_g__norank_f__norank_o__Microtrichales
OTU1027,Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__norank_o__Kapabacteriales,g__norank_f__norank_o__Kapabacteriales,s__unclassified_g__norank_f__norank_o__Kapabacteriales
OTU10270,Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank_f__Anaerolineaceae,s__unclassified_g__norank_f__Anaerolineaceae
OTU10271,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU10273,Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__norank_o__Fimbriimonadales,g__norank_f__norank_o__Fimbriimonadales,s__unclassified_g__norank_f__norank_o__Fimbriimonadales
OTU10276,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU10277,Bacteria,p__Acidobacteriota,c__Holophagae,o__Subgroup_7,f__norank_o__Subgroup_7,g__norank_f__norank_o__Subgroup_7,s__unclassified_g__norank_f__norank_o__Subgroup_7
OTU10278,Bacteria,p__Patescibacteria,c__norank_p__Patescibacteria,o__norank_c__norank_p__Patescibacteria,f__norank_o__norank_c__norank_p__Patescibacteria,g__norank_f__norank_o__norank_c__norank_p__Patescibacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Patescibacteria
OTU10279,Bacteria,p__Planctomycetota,c__OM190,o__norank_c__OM190,f__norank_o__norank_c__OM190,g__norank_f__norank_o__norank_c__OM190,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OM190
OTU1028,Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__norank_f__SM2D12,s__unclassified_g__norank_f__SM2D12
OTU10280,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU10282,Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10283,Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__P3OB-42,s__uncultured_bacterium_g__P3OB-42
OTU10284,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU10285,Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__cvE6,g__norank_f__cvE6,s__metagenome_g__norank_f__cvE6
OTU10286,Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__bacterium_Ellin6537
OTU10287,Bacteria,p__Acidobacteriota,c__Subgroup_25,o__norank_c__Subgroup_25,f__norank_o__norank_c__Subgroup_25,g__norank_f__norank_o__norank_c__Subgroup_25,s__unclassified_g__norank_f__norank_o__norank_c__Subgroup_25
OTU10288,Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__unclassified_g__norank_f__norank_o__SBR1031
OTU10289,Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Kaiserbacteria,f__norank_o__Candidatus_Kaiserbacteria,g__norank_f__norank_o__Candidatus_Kaiserbacteria,s__uncultured_bacterium_g__norank_f__norank_o__Candidatus_Kaiserbacteria
OTU10291,Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank_f__Anaerolineaceae,s__unclassified_g__norank_f__Anaerolineaceae
OTU10292,Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__PB19,f__norank_o__PB19,g__norank_f__norank_o__PB19,s__unclassified_g__norank_f__norank_o__PB19
OTU10293,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU10294,Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10295,Bacteria,p__Elusimicrobiota,c__Lineage_IIb,o__norank_c__Lineage_IIb,f__norank_o__norank_c__Lineage_IIb,g__norank_f__norank_o__norank_c__Lineage_IIb,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Lineage_IIb
OTU10297,Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank_o__Clostridia_UCG-014,g__norank_f__norank_o__Clostridia_UCG-014,s__uncultured_bacterium_g__norank_f__norank_o__Clostridia_UCG-014
OTU10298,Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__WCHB1-41,f__norank_o__WCHB1-41,g__norank_f__norank_o__WCHB1-41,s__uncultured_verrucomicrobium_DEV045
OTU10299,Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__unclassified_c__Acidimicrobiia,f__unclassified_c__Acidimicrobiia,g__unclassified_c__Acidimicrobiia,s__unclassified_c__Acidimicrobiia
OTU103,Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__unclassified_g__norank_f__Gemmataceae
OTU10300,Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__P3OB-42,s__uncultured_bacterium_g__P3OB-42
OTU10301,Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Silvanigrellales,f__Silvanigrellaceae,g__norank_f__Silvanigrellaceae,s__uncultured_bacterium_g__norank_f__Silvanigrellaceae
OTU10302,Bacteria,p__Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU10304,Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank_f__Anaerolineaceae,s__unclassified_g__norank_f__Anaerolineaceae
OTU10306,Bacteria,p__Acidobacteriota,c__Blastocatellia,o__11-24,f__norank_o__11-24,g__norank_f__norank_o__11-24,s__uncultured_bacterium_g__norank_f__norank_o__11-24
OTU10307,Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__norank_f__Saprospiraceae,s__metagenome_g__norank_f__Saprospiraceae
OTU10308,Bacteria,p__Planctomycetota,c__Pla4_lineage,o__norank_c__Pla4_lineage,f__norank_o__norank_c__Pla4_lineage,g__norank_f__norank_o__norank_c__Pla4_lineage,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Pla4_lineage
OTU10309,Bacteria,p__Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__unclassified_g__norank_f__JG30-KF-CM45
OTU1031,Bacteria,p__Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank_o__RBG-13-54-9,g__norank_f__norank_o__RBG-13-54-9,s__uncultured_bacterium_UASB_TL14
OTU10310,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__unclassified_o__Burkholderiales,g__unclassified_o__Burkholderiales,s__unclassified_o__Burkholderiales
OTU10311,Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Simkaniaceae,g__norank_f__Simkaniaceae,s__unclassified_g__norank_f__Simkaniaceae
OTU10312,Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__norank_f__Verrucomicrobiaceae,s__uncultured_bacterium_g__norank_f__Verrucomicrobiaceae
OTU10313,Bacteria,p__Chloroflexi,c__OLB14,o__norank_c__OLB14,f__norank_o__norank_c__OLB14,g__norank_f__norank_o__norank_c__OLB14,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__OLB14
OTU10314,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10315,Bacteria,p__Acidobacteriota,c__Subgroup_22,o__norank_c__Subgroup_22,f__norank_o__norank_c__Subgroup_22,g__norank_f__norank_o__norank_c__Subgroup_22,s__unclassified_g__norank_f__norank_o__norank_c__Subgroup_22
OTU10316,Bacteria,p__WPS-2,c__norank_p__WPS-2,o__norank_c__norank_p__WPS-2,f__norank_o__norank_c__norank_p__WPS-2,g__norank_f__norank_o__norank_c__norank_p__WPS-2,s__metagenome_g__norank_f__norank_o__norank_c__norank_p__WPS-2
OTU10317,Bacteria,p__Elusimicrobiota,c__Elusimicrobia,o__MVP-88,f__norank_o__MVP-88,g__norank_f__norank_o__MVP-88,s__uncultured_bacterium_g__norank_f__norank_o__MVP-88
OTU1032,Bacteria,p__Patescibacteria,c__norank_p__Patescibacteria,o__norank_c__norank_p__Patescibacteria,f__norank_o__norank_c__norank_p__Patescibacteria,g__norank_f__norank_o__norank_c__norank_p__Patescibacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Patescibacteria
OTU10320,Bacteria,p__Patescibacteria,c__Dojkabacteria,o__norank_c__Dojkabacteria,f__norank_o__norank_c__Dojkabacteria,g__norank_f__norank_o__norank_c__Dojkabacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Dojkabacteria
OTU10323,Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__unclassified_f__Chthoniobacteraceae,s__unclassified_f__Chthoniobacteraceae
OTU10324,Bacteria,p__Planctomycetota,c__Planctomycetes,o__norank_c__Planctomycetes,f__norank_o__norank_c__Planctomycetes,g__norank_f__norank_o__norank_c__Planctomycetes,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Planctomycetes
OTU10326,Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__unclassified_g__norank_f__Gemmatimonadaceae
OTU10327,Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__norank_o__Kapabacteriales,g__norank_f__norank_o__Kapabacteriales,s__unclassified_g__norank_f__norank_o__Kapabacteriales
OTU10328,Bacteria,p__Bacteroidota,c__Kapabacteria,o__Kapabacteriales,f__norank_o__Kapabacteriales,g__norank_f__norank_o__Kapabacteriales,s__unclassified_g__norank_f__norank_o__Kapabacteriales
OTU10329,Bacteria,p__Hydrogenedentes,c__Hydrogenedentia,o__Hydrogenedentiales,f__Hydrogenedensaceae,g__norank_f__Hydrogenedensaceae,s__unclassified_g__norank_f__Hydrogenedensaceae
OTU1033,Bacteria,p__unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10331,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unclassified_c__Gammaproteobacteria,f__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria,s__unclassified_c__Gammaproteobacteria
OTU10332,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__uncultured_bacterium_g__norank_f__Diplorickettsiaceae
OTU10334,Bacteria,p__Firmicutes,c__Bacilli,o__unclassified_c__Bacilli,f__unclassified_c__Bacilli,g__unclassified_c__Bacilli,s__unclassified_c__Bacilli
OTU10335,Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__unclassified_f__Bacillaceae,s__unclassified_f__Bacillaceae
OTU10336,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU10337,Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank_o__0319-6G20,g__norank_f__norank_o__0319-6G20,s__unclassified_g__norank_f__norank_o__0319-6G20
OTU10338,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__CHAB-XI-27,f__norank_o__CHAB-XI-27,g__norank_f__norank_o__CHAB-XI-27,s__uncultured_bacterium_g__norank_f__norank_o__CHAB-XI-27
OTU10339,Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__norank_f__Ruminococcaceae,s__uncultured_Clostridiaceae_bacterium_g__norank_f__Ruminococcaceae
OTU1034,Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_gamma_proteobacterium_g__norank_f__A4b
OTU10340,Bacteria,p__Myxococcota,c__Polyangia,o__VHS-B3-70,f__norank_o__VHS-B3-70,g__norank_f__norank_o__VHS-B3-70,s__uncultured_bacterium_g__norank_f__norank_o__VHS-B3-70
OTU10342,Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10345,Bacteria,p__Armatimonadota,c__Armatimonadia,o__Armatimonadales,f__norank_o__Armatimonadales,g__norank_f__norank_o__Armatimonadales,s__uncultured_soil_bacterium_g__norank_f__norank_o__Armatimonadales
OTU10346,Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
