#id,A,B,value
1,A6,B5,1
2,A6,B7,1
3,A1,B1,98
4,A1,B3,3
5,A1,B9,1
6,A1,B5,5
7,A2,B2,1
8,A3,B1,1
9,A8,B1,1
10,A4,B1,1
11,A5,B1,10
12,A5,B5,84
13,A7,B5,1
