#id,A,B,value
1,A1,B1,100
2,A1,B3,1
3,A1,B9,1
4,A1,B5,5
5,A8,B1,1
6,A4,B5,1
7,A4,B1,1
8,A10,B8,1
9,A9,B9,1
10,A5,B1,6
11,A5,B5,99
