#id,A,B,value
1,A6,B6,4
2,A1,B1,177
3,A1,B3,1
4,A1,B5,4
5,A2,B2,2
6,A3,B1,1
7,A4,B1,1
8,A4,B4,1
9,A9,B5,1
10,A5,B6,2
11,A5,B1,5
12,A5,B5,117
13,A7,B5,1
14,A7,B2,1
