#id,A,B,value
1,A6,B5,1
2,A6,B1,1
3,A1,B1,126
4,A1,B3,1
5,A1,B5,4
6,A2,B2,1
7,A3,B1,2
8,A4,B1,1
9,A4,B5,1
10,A9,B1,2
11,A5,B1,6
12,A5,B9,1
13,A5,B5,90
