#id,A,B,value
1,A1,B1,106
2,A1,B3,1
3,A1,B8,1
4,A1,B5,5
5,A2,B2,2
6,A4,B5,1
7,A4,B1,1
8,A5,B1,3
9,A5,B4,1
10,A5,B5,93
11,A7,B4,1
12,A7,B5,1
