#id,A,B,value
1,A6,B6,2
2,A1,B1,114
3,A1,B3,1
4,A1,B8,1
5,A1,B5,3
6,A1,B7,1
7,A4,B4,1
8,A9,B5,1
9,A5,B1,4
10,A5,B4,2
11,A5,B5,99
12,A7,B6,1
13,A7,B7,1
