#id,A,B,value
1,A6,B6,8
2,A1,B1,132
3,A1,B3,2
4,A1,B5,6
5,A2,B5,1
6,A2,B2,1
7,A4,B4,4
8,A5,B1,7
9,A5,B9,1
10,A5,B5,131
