#id,A,B,value
1,A6,B6,2
2,A1,B1,113
3,A1,B3,1
4,A1,B5,4
5,A2,B2,1
6,A3,B1,3
7,A4,B5,1
8,A4,B4,2
9,A5,B6,2
10,A5,B1,3
11,A5,B5,108
