#id,A,B,value
1,A1,B1,120
2,A1,B4,1
3,A1,B5,2
4,A2,B7,1
5,A2,B2,1
6,A3,B1,4
7,A4,B5,1
8,A5,B6,2
9,A5,B1,3
10,A5,B5,91
