#id,A,B,value
1,A6,B1,1
2,A1,B1,79
3,A1,B5,3
4,A2,B4,1
5,A2,B2,3
6,A3,B1,1
7,A8,B1,1
8,A4,B4,2
9,A4,B7,1
10,A5,B6,1
11,A5,B1,2
12,A5,B3,1
13,A5,B5,74
