#id,A,B,value
1,A6,B6,2
2,A1,B6,1
3,A1,B1,155
4,A1,B3,1
5,A1,B5,2
6,A3,B1,2
7,A4,B1,1
8,A4,B2,1
9,A4,B4,1
10,A4,B5,3
11,A5,B1,6
12,A5,B5,124
13,A7,B5,1
