Net,OTU8353,OTU1760,OTU6564,OTU11815,OTU11767,OTU11158,OTU9730,OTU11060,OTU9387,OTU3723,OTU1675,OTU3352,OTU6732,OTU2535,OTU2503,OTU4362,OTU4923,OTU11997,OTU11619,OTU7414,OTU4174,OTU8507,OTU9739,OTU3686,OTU4750,OTU6846,OTU6237,OTU2659,OTU9951,OTU6674,OTU10,OTU7165,OTU3223,OTU5934,OTU777,OTU5055,OTU11789,OTU1661,OTU3243,OTU4932,OTU5009,OTU7688,OTU11088,OTU4679,OTU9308,OTU1999,OTU7946,OTU5020,OTU9254,OTU8111,OTU4890,OTU6159,OTU8009,OTU3408,OTU6051,OTU6025,OTU12318,OTU9713,OTU11709,OTU6467,OTU8669,OTU11655,OTU10872,OTU8379,OTU2609,OTU742,OTU8487,OTU8461,OTU11612,OTU6458,OTU7140,OTU4986,OTU4240,OTU4618,OTU9221,OTU1625,OTU3044,OTU4851,OTU9656,OTU7297,OTU2014,OTU11647,OTU1418,OTU8464,OTU5058,OTU6819,OTU2736,OTU7928,OTU6630,OTU7244,OTU6544,OTU8693,OTU12100,OTU10727,OTU2658,OTU8373,OTU6453,OTU3989,OTU11766,OTU8665,OTU9051,OTU10772,OTU7929,OTU7036,OTU11567,OTU10028,OTU6667,OTU2747,OTU8139,OTU5762,OTU520,OTU3031,OTU6033,OTU132,OTU8002,OTU9568,OTU8127,OTU2690,OTU2713,OTU8721,OTU5271,OTU2628,OTU1045,OTU5349,OTU5347,OTU5617,OTU9755,OTU4082,OTU4535,OTU9369,OTU4077,OTU1616,OTU3605,OTU2627,OTU4105,OTU7267,OTU2715,OTU474,OTU6503,OTU6041,OTU6653,OTU8286,OTU5230,OTU11459,OTU4171,OTU1368,OTU4296,OTU2943,OTU5830,OTU8018,OTU8273,OTU7975,OTU9593,OTU1465,OTU8708,OTU6626,OTU1459,OTU1891,OTU10881,OTU12185,OTU5056,OTU2638,OTU4528,OTU2599,OTU9754,OTU5026,OTU10096,OTU6229,OTU4483,OTU2808,OTU6417,OTU2534,OTU939,OTU10624,OTU7009,OTU10704,OTU1017,OTU7967,OTU473,OTU10883,OTU4435,OTU2621,OTU5202,OTU4549,OTU12159,OTU9294,OTU4995,OTU4041,OTU4057,OTU3489,OTU6553,OTU1317,OTU5673,OTU1001,OTU3488,OTU4067,OTU7692,OTU4059,OTU12083,OTU11317,OTU7905,OTU11665,OTU538,OTU9428,OTU7807,OTU7862,OTU4609,OTU6990,OTU3997,OTU6645,OTU5441,OTU9261,OTU1910,OTU7187,OTU9859,OTU942,OTU9247,OTU12312,OTU4298,OTU1443,OTU426,OTU1655,OTU6728,OTU9937,OTU12097,OTU9436,OTU9735,OTU7846,OTU6992,OTU10788,OTU1984,OTU8318,OTU6813,OTU10974,OTU10793,OTU12022,OTU4770,OTU7266,OTU2843,OTU7007,OTU10853,OTU12291,OTU9140,OTU7615,OTU1067,OTU12,OTU5590,OTU9811,OTU8274,OTU10655,OTU3385,OTU5723,OTU7920,OTU9480,OTU1492,OTU3069,OTU7743,OTU10939,OTU8146,OTU2082,OTU3623,OTU3852,OTU6767,OTU10803,OTU2079,OTU817,OTU2536,OTU3627,OTU11424,OTU3853,OTU9076,OTU2626,OTU3889,OTU9378,OTU3212,OTU7935,OTU4544,OTU7921,OTU10832,OTU10663,OTU2964,OTU2641,OTU1775,OTU9764,OTU2716,OTU10849,OTU2298,OTU9057,OTU2870,OTU2912,OTU4397,OTU2902,OTU4084,OTU2140,OTU5986,OTU10247,OTU5323,OTU283,OTU3533,OTU9297,OTU8053,OTU4545,OTU2769,OTU7358,OTU8294,OTU3729,OTU10841,OTU5261,OTU2823,OTU3467,OTU4108,OTU2839,OTU9300,OTU12221,OTU2400,OTU4058,OTU4102,OTU7219,OTU7616,OTU3487,OTU5218,OTU4061,OTU6891,OTU3561,OTU506,OTU11256,OTU8963,OTU10889,OTU9288,OTU2640,OTU4474,OTU5136,OTU2762,OTU6480,OTU988,OTU8260,OTU7420,OTU5211,OTU3416,OTU8024,OTU9155,OTU2676,OTU3520,OTU2643,OTU5298,OTU9772,OTU8511,OTU11565,OTU6440,OTU9495,OTU1320,OTU5005,OTU7487,OTU6472,OTU2442,OTU5502,OTU11858,OTU5860,OTU7431,OTU10860,OTU1575,OTU5889,OTU3909,OTU3032,OTU1267,OTU8175,OTU10167,OTU864,OTU6240,OTU422,OTU2463,OTU8107,OTU3112,OTU6593,OTU6355,OTU6703,OTU12305,OTU1349,OTU10536,OTU7922,OTU6101,OTU7785,OTU9740,OTU5226,OTU5982,OTU14,OTU7673,OTU6245,OTU11755,OTU8238,OTU12335,OTU5708,OTU6853,OTU5036,OTU5378,OTU5107,OTU10821,OTU7188,OTU4328,OTU8384,OTU219,OTU5422,OTU2832,OTU5548,OTU10789,OTU3975,OTU2001,OTU5599,OTU10142,OTU5711,OTU5364,OTU9649,OTU6105,OTU10669,OTU1849,OTU5795,OTU2786,OTU1395,OTU5652,OTU4056,OTU5782,OTU8017,OTU500,OTU7033,OTU2437,OTU2233,OTU1019,OTU10410,OTU12087,OTU5351,OTU4099,OTU11588,OTU6889,OTU5162,OTU4087,OTU7122,OTU5255,OTU8921,OTU11599,OTU7326,OTU8923,OTU2857,OTU5278,OTU4073,OTU2648,OTU4110,OTU12225,OTU2574,OTU4446,OTU1013,OTU5115,OTU9098,OTU9770,OTU8309,OTU9097,OTU1812,OTU5354,OTU7717,OTU2642,OTU3545,OTU4525,OTU6354,OTU10620,OTU8137,OTU10891,OTU1945,OTU2597,OTU10205,OTU8130,OTU8190,OTU12050,OTU2829,OTU9278,OTU7087,OTU5246,OTU6708,OTU10129,OTU1411,OTU12141,OTU3767,OTU866,OTU7492,OTU1989,OTU2774,OTU8879,OTU6092,OTU8909,OTU11650,OTU7064,OTU4267,OTU772,OTU10256,OTU6572,OTU4428,OTU7286,OTU6659,OTU4768,OTU1042,OTU6885,OTU10262,OTU8805,OTU2606,OTU4925,OTU2725,OTU7382,OTU7859,OTU10869,OTU6313,OTU6498,OTU5742,OTU11236,OTU3391,OTU11566,OTU5892,OTU6118,OTU5951,OTU8585,OTU5266,OTU2694,OTU4503,OTU4547,OTU12176,OTU7370,OTU10060,OTU11813,OTU8210,OTU2228,OTU4924,OTU7176,OTU239,OTU7220,OTU5765,OTU8303,OTU5280,OTU3373,OTU1009,OTU2637,OTU990,OTU10237,OTU2612,OTU5240,OTU5282,OTU922,OTU12136,OTU4080,OTU3065,OTU4898,OTU10071,OTU11613,OTU12076,OTU6539,OTU12234,OTU12236,OTU3316,OTU5321,OTU8941,OTU2522,OTU1839,OTU2588,OTU10797,OTU10145,OTU332,OTU5732,OTU5902,OTU8791,OTU5602,OTU244,OTU894,OTU5155,OTU11435,OTU3257,OTU10728,OTU2895,OTU4593,OTU3040,OTU6820,OTU11955,OTU9354,OTU6479,OTU12132,OTU9243,OTU3222,OTU2583,OTU4622,OTU9292,OTU9573,OTU1700,OTU3422,OTU7196,OTU9461,OTU5286,OTU8867,OTU9753,OTU3498,OTU4083,OTU1381,OTU2460,OTU4930,OTU5284,OTU9293,OTU8848,OTU4486,OTU4431,OTU3993,OTU5285,OTU9016,OTU11601,OTU2587,OTU9650,OTU1004,OTU11462,OTU7015,OTU4303,OTU4656,OTU7327,OTU7368,OTU11590,OTU5398,OTU4448,OTU10758,OTU9079,OTU11591,OTU12223,OTU8412,OTU11595,OTU7331,OTU12121,OTU10896,OTU2070,OTU10894,OTU2207,OTU6719,OTU2548,OTU505,OTU9622,OTU2709,OTU3755,OTU7377,OTU10851,OTU12206,OTU3761,OTU5754,OTU5274,OTU8564,OTU10919,OTU3004,OTU6884,OTU1538,OTU1473,OTU5478,OTU8569,OTU9355,OTU7423,OTU11536,OTU5615,OTU511,OTU2620,OTU8250,OTU8160,OTU6390,OTU7592,OTU10855,OTU3544,OTU5824,OTU10314,OTU1015,OTU8810,OTU12152,OTU9286,OTU5840,OTU982,OTU1464,OTU2682,OTU4086,OTU9762,OTU7379,OTU2615,OTU12164,OTU10640,OTU7291,OTU4926,OTU1481,OTU8334,OTU5288,OTU9259,OTU9760,OTU8323,OTU1456,OTU9765,OTU10835,OTU8331,OTU8078,OTU5224,OTU1413,OTU8191,OTU11592,OTU3483,OTU3388,OTU12179,OTU9679,OTU4092,OTU12227,OTU9761,OTU5281,OTU9648,OTU12053,OTU3752,OTU8580,OTU8689,OTU6994,OTU4321,OTU8074,OTU5120,OTU362,OTU8251,OTU3399,OTU1079,OTU7835,OTU3942,OTU5612,OTU4777,OTU5533,OTU8108,OTU2315,OTU5833,OTU9673,OTU3457,OTU3411,OTU9110,OTU4049,OTU4093,OTU12211,OTU699,OTU9078,OTU1633,OTU6710,OTU8284,OTU8322,OTU3149,OTU3908,OTU8292,OTU8300,OTU3386,OTU9299,OTU9104,OTU4063,OTU9013,OTU11026,OTU4727,OTU8307,OTU9275,OTU3439,OTU9043,OTU953,OTU1008,OTU4106,OTU1011,OTU2674,OTU2603,OTU9759,OTU2414,OTU2592,OTU12183,OTU1012,OTU12218,OTU5307,OTU6369,OTU3470,OTU12217,OTU2625,OTU11589,OTU9693,OTU4499,OTU10839,OTU4453,OTU12232,OTU3442,OTU11598,OTU11903,OTU5849,OTU1472,OTU7322,OTU12233,OTU5283,OTU5836,OTU4487,OTU9075,OTU6723,OTU1000,OTU10602,OTU1005,OTU5279,OTU1846,OTU10330,OTU2675,OTU12219,OTU9291,OTU1003,OTU11573,OTU3364,OTU8279,OTU2657,OTU4081,OTU2450,OTU6668,OTU4070,OTU4100,OTU11576,OTU11587,OTU2631,OTU6722,OTU9301,OTU2633,OTU9771,OTU1474,OTU11526,OTU8332,OTU5258,OTU4502,OTU10111,OTU7367,OTU9050,OTU5072,OTU3506,OTU4107,OTU4527,OTU12212,OTU5273,OTU10893,OTU5276,OTU12201,OTU11578,OTU6584,OTU4109,OTU4101,OTU4518,OTU7366,OTU4098,OTU999,OTU9284,OTU10351,OTU11558,OTU5268,OTU11581,OTU4523,OTU4491,OTU12085,OTU1010,OTU11604,OTU9289,OTU12222,OTU3514,OTU4766,OTU8329,OTU8326,OTU8129,OTU10899,OTU10857,OTU2677,OTU9280,OTU4510,OTU3358,OTU993,OTU4085,OTU9295,OTU8966,OTU11898,OTU4517
YN50.01,0.0268204,0.00671,0.00671,0.00671,0.0335255,0,0.0201153,0,0.00671,0.00671,0,0,0,0,0,0.0134102,0,0,0.00671,0.0134102,0,0.0268204,0.00671,0.00671,0,0,0,0,0.0134102,0.00671,0,0.00671,0,0.00671,0.00671,0.00671,0.00671,0.00671,0,0,0,0,0.00671,0,0.00671,0,0.00671,0.00671,0.00671,0.0402307,0.0134102,0,0.0134102,0,0,0,0,0,0,0,0,0.00671,0,0,0.00671,0.0268204,0,0.0134102,0,0.0134102,0.0134102,0,0.00671,0.00671,0,0,0.0201153,0,0.00671,0,0.00671,0.0201153,0.00671,0.0134102,0,0,0.0134102,0,0,0.0134102,0.00671,0,0.00671,0,0,0.0268204,0.00671,0.00671,0.00671,0.00671,0,0,0,0.0268204,0,0,0.00671,0.00671,0,0,0,0.0201153,0,0.00671,0,0.00671,0,0,0.00671,0,0,0.00671,0,0,0.00671,0.00671,0,0,0.00671,0,0.0134102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0.00671,0.0201153,0.00671,0,0.0134102,0,0,0,0,0,0,0,0,0,0,0.00671,0.0268204,0,0.00671,0,0,0.00671,0.00671,0,0,0,0.00671,0,0.0134102,0,0.00671,0,0,0,0,0,0,0,0.00671,0.00671,0,0,0.0134102,0,0.00671,0.0134102,0.00671,0.0201153,0.0134102,0.0402307,0.0134102,0,0,0.0268204,0.0134102,0,0.00671,0.0134102,0.00671,0.00671,0.0536409,0.0201153,0,0,0.0201153,0.00671,0.0201153,0,0,0,0.00671,0,0,0.00671,0.00671,0.00671,0.00671,0,0.00671,0,0,0.00671,0.00671,0.0134102,0.00671,0,0,0.00671,0.00671,0.0268204,0.00671,0,0.0134102,0.0134102,0.0134102,0,0.00671,0,0,0,0.0134102,0.00671,0.00671,0,0,0.00671,0,0.00671,0,0,0,0,0.00671,0.00671,0,0,0,0.00671,0.0335255,0,0,0,0,0.00671,0.00671,0.00671,0,0,0,0,0.0268204,0.00671,0,0,0.0268204,0,0.0134102,0,0,0.0201153,0,0.0134102,0.00671,0.0201153,0,0,0,0,0,0.00671,0,0,0.00671,0,0,0.00671,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0.00671,0.0268204,0,0.00671,0.00671,0.0134102,0,0,0.00671,0.00671,0.00671,0.00671,0.00671,0.00671,0,0.060346,0.0134102,0.0335255,0.0201153,0.0268204,0.0134102,0.0201153,0.00671,0.0335255,0.00671,0,0.0402307,0,0.0201153,0.00671,0.0134102,0.00671,0.00671,0.00671,0.00671,0.0268204,0.00671,0.0335255,0.0335255,0.0201153,0.00671,0.0201153,0.0134102,0,0,0.0134102,0.0201153,0.00671,0.00671,0.00671,0,0.0134102,0.0268204,0.0201153,0,0,0.0134102,0.00671,0.0268204,0,0.00671,0,0,0,0.00671,0.00671,0,0.0335255,0.0201153,0.1743328,0,0,0,0,0,0.00671,0,0.00671,0,0,0,0,0.0134102,0,0,0.00671,0,0,0,0,0,0,0.0536409,0.00671,0,0.0134102,0,0.00671,0,0.1072817,0,0.00671,0,0,0,0,0,0,0.1676277,0.0268204,0.0268204,0.0201153,0.0402307,0.1609226,0,0,0.0134102,0,0,0,0,0,0.00671,0.00671,0,0,0.00671,0.00671,0.0134102,0,0.0201153,0,0,0.0268204,0,0,0.0201153,0,0.0469358,0.0134102,0.0201153,0.0268204,0.060346,0.0134102,0.0268204,0.00671,0.0134102,0.0201153,0.0134102,0.0134102,0.0134102,0.0268204,0.00671,0.00671,0.00671,0.00671,0.0134102,0.0670511,0.00671,0.00671,0.0201153,0.0134102,0.0134102,0.00671,0,0.0469358,0.00671,0.0134102,0.00671,0,0.0268204,0.00671,0,0.00671,0,0.0268204,0,0.00671,0,0,0,0.0134102,0.00671,0,0.0134102,0.00671,0.0268204,0,0,0,0,0,0,0,0.0134102,0,0,0.0134102,0.0134102,0,0.5699343,0,0.0134102,0.0134102,0.0201153,0.0268204,0,0.00671,0.0201153,0,0.00671,0,0.0201153,0.0134102,0,0.00671,0.00671,0.00671,0.0268204,0.060346,0.0737562,0.0938715,0.0134102,0.00671,0.0201153,0.0536409,0,0.0268204,0.060346,0.0268204,0.0804613,0.00671,0,0.00671,0.0938715,0.0268204,0.00671,0.00671,0,0.0268204,0.120692,0.0134102,0.0134102,0.0134102,0.0134102,0.00671,0.0134102,0.0201153,0.00671,0.0536409,0.00671,0,0.00671,0.0201153,0,0.00671,0.0134102,0.0201153,0.0201153,0.00671,0.0871664,0,0.2145635,0,0.00671,0.0134102,0.0134102,0.0804613,0.0134102,0,0,0,0,0.1005766,0.0134102,0.0134102,0.0670511,0,0,0.0134102,0,0.0268204,0.1005766,0.0536409,0.00671,0.0134102,0.0268204,0.0134102,0.0201153,0.0201153,0,0.0134102,0.00671,0.0134102,0.0335255,0.0938715,0.0134102,0.00671,0.1072817,0.0201153,0.5095883,0.0737562,0.1609226,0.0402307,0.248089,0.0268204,0.0469358,0.0402307,0.00671,0.0268204,0.0134102,0,0.0134102,0.00671,0.4827679,0.0737562,0.0134102,0.0268204,0.0201153,0.0402307,0.0268204,0.0335255,0.0134102,0.0335255,0.00671,0.1408073,0.0268204,0.0335255,0.1072817,0,0.0201153,0,0.0134102,0.3352555,0.00671,0,0.0201153,0.0268204,0.0268204,0.0737562,0.00671,0.0737562,0.0737562,0.00671,0.0201153,0.0469358,0.0871664,0.0335255,0.0402307,0.00671,0.0402307,0.0134102,0.00671,0.0134102,0,0,0.0469358,0.0268204,0,0.0536409,0.0804613,0.0201153,0.2547942,0.0268204,0.00671,0,0.5297036,0.2078584,1.2739708,0.1273971,0.1072817,0.0938715,0.0737562,0.0335255,0.0938715,0.4559474,0.1341022,0.0268204,0.0469358,0.0134102,0.0201153,0.0201153,0.060346,0.3486657,0.0335255,0.0737562,0.0469358,0.3486657,0.0871664,0.0469358,0.2212686,0.0335255,0.9923562,0.2145635,1.656162,0.060346,1.1599839,0.0938715,0.0670511,0.0469358,0.0402307,0.3285504,0.060346,0.00671,0.5028832,0.120692,0.0335255,0.1475124,0.0469358,0.2682044,0.2346788,0.797908,0.2078584,0.0134102,0.1743328,0.1475124,0.181038,0.2279737,2.5278262,0.1408073,0.4961781,0.3151401,0.0536409,0.00671,0.181038,0.2682044,0.0201153,0.0134102,0.00671,1.347727,0.2078584,0.0268204,0.6705109,0.00671,0.2212686,2.6954539,0.0804613,0.3017299,0.2145635,0.0670511,0.9186,0.9990613,0.1139869,1.3812525,0.1877431,0.0804613,0.0536409,0.0469358,0.2883197,0.0402307,0.0134102,0.0335255,0.0134102,0.248089,0.0268204,0.737562,1.4214832,0.0134102,0.4023066,1.0325868,0.0871664,1.2337401,0.120692,0.2816146,0.4358321,0.7040365,0.0670511,0.0536409,0.1542175,0.5297036,0.2212686,0.3017299,4.2912699,0.4827679,0.1542175,0.00671,0.0938715,17.8825265,0.3352555,1.5757007,0.1743328,1.1130481,0.1273971,0.6503956,0.9051898,0.1273971,0.3956014,0.3419606,0.0670511,0.677216,0.0670511,0.1341022,0.2078584,1.8371999,0.0938715,0.1341022,0.1475124,0.0134102,0.0536409,1.2538554,0.1877431,0.0804613,0.1005766,0.00671,1.4885343,1.6494569,0.0938715,0.6705109,0.0201153,0.4626525,2.2328014,0.1139869,0.1273971,0.4358321,6.3564436,1.7634437,0.00671,1.0057664,0.0268204,0.0268204,0.2614993,0.060346,0.0268204,0.4492423,0.060346,0.0268204,0.0268204,0.0134102,0.0268204
YN50.02,0,0,0,0,0,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335255,0.00671,0,0,0,0,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671,0.00671,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0.00671,0.00671,0,0,0,0,0.00671,0.00671,0,0,0.00671,0,0,0,0,0,0.00671,0,0,0,0,0.00671,0,0,0,0,0,0.00671,0.00671,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0.0536409,0,0,0.00671,0,0.00671,0,0.00671,0,0,0,0,0,0,0.00671,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671,0,0,0,0.0134102,0,0.00671,0,0.00671,0,0,0,0,0,0,0,0.00671,0,0,0.00671,0,0.0201153,0.0402307,0,0,0,0,0.00671,0,0,0,0.00671,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0.00671,0,0,0,0.00671,0,0,0,0.00671,0,0,0,0,0,0,0,0.0402307,0,0,0.00671,0,0,0,0.00671,0,0,0,0,0.0134102,0,0,0.00671,0,0,0.00671,0,0,0,0,0,0,0.00671,0,0,0,0,0.0201153,0,0,0,0,0,0.0134102,0.00671,0.00671,0,0,0.00671,0,0,0,0,0,0,0,0.00671,0.00671,0.00671,0.0134102,0,0,0,0,0,0,0.00671,0.00671,0,0,0.0201153,0.00671,0.00671,0,0.0134102,0,0,0,0,0,0,0,0.0134102,0.0134102,0,0,0,0,0,0.0201153,0.0134102,0,0.00671,0.00671,0,0.0134102,0,0,0,0,0,0,0.00671,0,0.00671,0,0,0.00671,0.0134102,0.00671,0.0134102,0.0134102,0,0.00671,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00671,0.00671,0.00671,0,0.0134102,0,0,0,0,0,0,0,0,0.00671,0,0.00671,0.0134102,0.0201153,0,0,0,0.00671,0.00671,0,0.00671,0.00671,0,0.00671,0,0.0134102,0,0.0134102,0,0,0,0,0.00671,0,0,0,0,0,0.00671,0,0,0.00671,0,0.0268204,0.00671,0,0.060346,0,0,0.0134102,0,0,0.00671,0.00671,0,0.00671,0,0,0.00671,0,0,0.0335255,0.00671,0.00671,0.0201153,0.0268204,0.0134102,0.0670511,0,0.00671,0,0.00671,0,0.00671,0.0335255,0.1273971,0,0,0.0134102,0,0,0,0.0134102,0,0.0268204,0,0,0,0.060346,0.00671,0.0201153,0,0,0,0,0,0,0,0.00671,0,0,0.00671,0,0,0,0.00671,0.00671,0,0,0,0.00671,0,0.00671,0.0335255,0.00671,0,0,0.00671,0.0134102,0.00671,0,0.0134102,0,0,0,0.00671,0.00671,0.0134102,0,0,0,0,0,0,0,0.0469358,0.0201153,0.0134102,0.00671,0,0.00671,0,0,0.0201153,0,0,0,0.00671,0.0134102,0.0134102,0.00671,0,0.0268204,0.0134102,0,0.0201153,0.00671,0.0134102,0.0201153,0.0134102,0.00671,0,0,0.0134102,0.0201153,0.00671,0.0938715,0.0536409,0.00671,0,0.0201153,0.0134102,0.00671,0.00671,0,0.0201153,0.00671,0,0,0,0.00671,0.00671,0.00671,0,0.00671,0.00671,0.00671,0.00671,0,0.0134102,0.00671,0,0.0335255,0.0134102,0.00671,0.00671,0.00671,0.00671,0.00671,0.0201153,0.0134102,0.00671,0.00671,0.0201153,0.0134102,0,0.00671,0.060346,0.0335255,0.120692,0.060346,0,0,0.00671,0,0.00671,0.1072817,0.00671,0.0402307,0.0201153,0.0268204,0.0134102,0.00671,0.0134102,0.0134102,0.0268204,0.0201153,0.0201153,0.0134102,0,0.00671,0.0134102,0,0,0.0201153,0,0.00671,0.00671,0.00671,0,0.00671,0.0402307,0,0.00671,0.0402307,0,0,0.0536409,0.0536409,0.00671,0.00671,0.00671,0.00671,0.1273971,0.0335255,0.0268204,0,0.00671,0.00671,0.0134102,0.00671,0.0201153,0.00671,0.0134102,0,0.00671,0.0737562,0.00671,0.0134102,0.0201153,0.00671,0.00671,0.0134102,0,0.00671,0.0268204,0.00671,0.0335255,0.00671,0.0268204,0.0134102,0.0469358,0.2078584,0.00671,0.0804613,0.2279737,0.0134102,0.2614993,0.00671,0.0536409,0.00671,0.0536409,0.0268204,0.060346,0.0938715,0.0469358,0.0469358,0.0871664,0.00671,0.0335255,0.248089,0.0335255,0,0.00671,0.0670511,0.0871664,0,0.1072817,0.0201153,0.0670511,0.0536409,0.0737562,0.0201153,0.0201153,0.1072817,0,0.5095883,0.2145635,0.00671,0.00671,0.1408073,0.2413839,0.7174467,0.3151401,0.1139869,0.0134102,0.0134102,0.0268204,0.0402307,0.5699343,0.0402307,0.3151401,0.1139869,0.00671,0.0268204,0.0536409,0.4693577,0.1139869,0.00671,0.060346,0.0536409,0.858254,0.2279737,0.2078584,0.4827679,0.0268204,0.1877431,0.0737562,1.3276116,0.1475124,1.2605605,0.0268204,0.0402307,0.0335255,0.0335255,0.1072817,0.0201153,0.1005766,0.7643825,0.2950248,0.0201153,0.060346,0.0938715,0.308435,0.0737562,1.2471503,0.0536409,0.181038,0.1877431,0.1542175,0.1676277,0.2749095,2.4473649,0.0871664,0.677216,0.3821912,0.1609226,0.0469358,0.2078584,0.1609226,0.00671,0.0536409,0.00671,0.8783693,0.3017299,0.0201153,0.4961781,0.0134102,0.1273971,2.0048277,0.3151401,0.1877431,0.1139869,0.1139869,0.5900496,1.1532788,0.1072817,1.3946627,0.1273971,0.1139869,0.0536409,0.1676277,0.1072817,0.4358321,0.1139869,0.0268204,0.0201153,0.4492423,0.00671,0.1072817,1.5086496,0.0402307,0.2547942,0.6839211,0.0402307,1.5287649,0.3017299,0.1273971,0.3754861,0.181038,0.0201153,0.0335255,0.0402307,0.3888963,0.1475124,0.2950248,3.9493094,0.1743328,0.1877431,0.0268204,0.0737562,34.4039158,0.1609226,1.7902642,0.0871664,1.6762773,0.1139869,0.1944482,1.347727,0.060346,0.2749095,0.3821912,0.1072817,0.3888963,0.0804613,0.0938715,0.1341022,0.978946,0.0402307,0.120692,0.0268204,0.0938715,0.0201153,0.9521255,0.248089,0.1542175,0.1877431,0.0134102,1.106343,1.3343167,0.0469358,0.4358321,0.0268204,0.4023066,1.0929328,0.2011533,0.0469358,0.2011533,2.1523401,2.9234277,0.0201153,0.3017299,0.120692,0.0536409,0.0938715,0.1341022,0.0402307,0.677216,0.0268204,0.0402307,0.0737562,0.0402307,0.0201153
