OTU ID,order,Nadd,Nlevel,Nitrogen,Treatment,Year,Block,#sample
Bac1927,95,Ncess,10,N10,NN10,2019,B2,NN10_2
Bac1928,96,Ncess,15,N15,NN15,2019,B2,NN15_2
Bac1929,97,Ncess,20,N20,NN20,2019,B2,NN20_2
Bac1930,98,Ncess,50,N50,NN50,2019,B2,NN50_2
Bac1932,99,Ncont,0,N0,YN0,2019,B3,YN00_3
Bac1933,100,Ncont,2,N2,YN2,2019,B3,YN02_3
Bac1934,101,Ncont,5,N5,YN5,2019,B3,YN05_3
Bac1935,102,Ncont,10,N10,YN10,2019,B3,YN10_3
Bac1936,103,Ncont,15,N15,YN15,2019,B3,YN15_3
Bac1937,104,Ncont,20,N20,YN20,2019,B3,YN20_3
Bac1938,105,Ncont,50,N50,YN50,2019,B3,YN50_3
Bac1939,106,Ncess,0,N0,NN0,2019,B3,NN00_3
Bac1940,107,Ncess,2,N2,NN2,2019,B3,NN02_3
Bac1941,108,Ncess,5,N5,NN5,2019,B3,NN05_3
Bac1942,109,Ncess,10,N10,NN10,2019,B3,NN10_3
Bac1943,110,Ncess,15,N15,NN15,2019,B3,NN15_3
Bac1944,111,Ncess,20,N20,NN20,2019,B3,NN20_3
Bac1945,112,Ncess,50,N50,NN50,2019,B3,NN50_3
Bac1947,113,Ncont,0,N0,YN0,2019,B4,YN00_4
Bac1948,114,Ncont,2,N2,YN2,2019,B4,YN02_4
Bac1949,115,Ncont,5,N5,YN5,2019,B4,YN05_4
Bac1950,116,Ncont,10,N10,YN10,2019,B4,YN10_4
Bac1951,117,Ncont,15,N15,YN15,2019,B4,YN15_4
Bac1952,118,Ncont,20,N20,YN20,2019,B4,YN20_4
Bac1953,119,Ncont,50,N50,YN50,2019,B4,YN50_4
Bac1954,120,Ncess,0,N0,NN0,2019,B4,NN00_4
Bac1955,121,Ncess,2,N2,NN2,2019,B4,NN02_4
Bac1956,122,Ncess,5,N5,NN5,2019,B4,NN05_4
Bac1957,123,Ncess,10,N10,NN10,2019,B4,NN10_4
Bac1958,124,Ncess,15,N15,NN15,2019,B4,NN15_4
Bac1959,125,Ncess,20,N20,NN20,2019,B4,NN20_4
Bac1960,126,Ncess,50,N50,NN50,2019,B4,NN50_4
Bac1962,127,Ncont,0,N0,YN0,2019,B5,YN00_5
Bac1963,128,Ncont,2,N2,YN2,2019,B5,YN02_5
Bac1964,129,Ncont,5,N5,YN5,2019,B5,YN05_5
Bac1965,130,Ncont,10,N10,YN10,2019,B5,YN10_5
Bac1966,131,Ncont,15,N15,YN15,2019,B5,YN15_5
Bac1967,132,Ncont,20,N20,YN20,2019,B5,YN20_5
Bac1968,133,Ncont,50,N50,YN50,2019,B5,YN50_5
Bac1969,134,Ncess,0,N0,NN0,2019,B5,NN00_5
Bac1970,135,Ncess,2,N2,NN2,2019,B5,NN02_5
Bac1971,136,Ncess,5,N5,NN5,2019,B5,NN05_5
Bac1972,137,Ncess,10,N10,NN10,2019,B5,NN10_5
Bac1973,138,Ncess,15,N15,NN15,2019,B5,NN15_5
Bac1974,139,Ncess,20,N20,NN20,2019,B5,NN20_5
Bac1975,140,Ncess,50,N50,NN50,2019,B5,NN50_5
