Taxon,YN00_1,YN00_2,YN00_3,YN00_4,YN00_5,YN02_1,YN02_2,YN02_3,YN02_4,YN02_5,YN05_1,YN05_2,YN05_3,YN05_4,YN05_5,YN10_1,YN10_2,YN10_3,YN10_4,YN10_5,YN15_1,YN15_2,YN15_3,YN15_4,YN15_5,YN20_1,YN20_2,YN20_3,YN20_4,YN20_5,YN50_1,YN50_2,YN50_3,YN50_4,YN50_5,NN00_1,NN00_2,NN00_3,NN00_4,NN00_5,NN02_1,NN02_2,NN02_3,NN02_4,NN02_5,NN05_1,NN05_2,NN05_3,NN05_4,NN05_5,NN10_1,NN10_2,NN10_3,NN10_4,NN10_5,NN15_1,NN15_2,NN15_3,NN15_4,NN15_5,NN20_1,NN20_2,NN20_3,NN20_4,NN20_5,NN50_1,NN50_2,NN50_3,NN50_4,NN50_5
AF507712.1.1501;d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group;o__S0134_terrestrial_group;f__S0134_terrestrial_group;g__S0134_terrestrial_group;s__uncultured_S0134_terrestrial_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ582059.1.1459;d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__uncultured_actinobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ863369.1.1514;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__uncultured_Xanthobacteraceae;s__uncultured_Xanthobacteraceae,0,14,0,0,0,11,36,21,32,51,0,0,78,71,58,11,0,39,14,14,0,81,0,0,32,29,42,0,4,0,0,0,88,0,21,47,31,16,53,23,0,0,0,22,43,46,85,0,298,99,0,0,93,29,38,11,0,97,74,0,34,0,0,0,55,25,0,25,91,0
AM777976.1.1432;d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96;s__uncultured_KD4-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
AM935498.1.1337;d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45;s__uncultured_Chloroflexi,79,159,77,46,0,138,118,0,15,0,116,18,59,71,53,131,42,110,118,0,111,158,139,55,112,86,99,159,0,85,0,0,148,0,0,83,18,94,77,93,62,138,61,0,0,0,59,0,141,33,27,94,99,54,117,67,14,113,87,75,0,51,78,115,71,0,71,152,0,31
AM936743.1.1343;d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured_Acidimicrobiia;f__uncultured_Acidimicrobiia;g__uncultured_Acidimicrobiia;s__uncultured_Actinomycetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXYG01000035.283.1751;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__unclassified_Bradyrhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,114,0,0,0,0,0,0,69,0,0,43,0,0,0,0,0,49,0,0,97,113,0,28,0,0,0,0,29,0,0,0,0,0,0,0,0,0,51,0,0,0,0,36,0,0,0,51,0,0,0,0,0,0,0
AY234686.1.1437;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__unclassified_Micromonosporaceae;s__unclassified_Micromonosporaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,21,0,71,0,0,0,18,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AY253866.1.1517;d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella;s__unclassified_Kribbella,0,0,0,0,0,0,0,52,24,0,0,0,0,0,21,0,0,45,31,115,0,0,0,124,43,0,0,56,36,48,0,0,0,0,0,25,0,28,0,62,14,0,0,0,0,0,47,0,0,31,0,0,0,48,112,51,0,0,0,33,0,0,114,0,24,6,0,0,0,0
AY281352.5002.6584;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured_Vicinamibacterales;g__uncultured_Vicinamibacterales;s__uncultured_Vicinamibacterales,87,0,0,0,0,0,83,0,0,0,0,65,0,0,214,196,0,115,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,219,0,0,0,0,0,0,119,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
