sample_name,N,Nadd,Block,N addition rates,Inorganic nitrogen,Soil pH,Plant richness,Plant biomass,Richness of KO genes in HGTs,AGS,Richness of KO genes,Richness of bacteria taxonomic,rate,H,E,HGT events
NN15_1,N15,Ncess,B1,15,3.661917729,6.53,11,221.25,37,3.915021433,9838,2546,3.86410055,1.105732,0.461126,41
NN15_2,N15,Ncess,B2,15,2.769695403,7.24,10,246.01,52,3.563191218,10123,2594,3.902467232,1.975479,0.85794,56
NN15_3,N15,Ncess,B3,15,3.554185319,7.59,8,219.64,27,3.647730878,9622,2480,3.87983871,1.366505,0.65715,45
NN15_4,N15,Ncess,B4,15,7.947158005,6.86,4,619.55,66,3.179908364,9572,2524,3.792393027,0.545946,0.393817,60
NN15_5,N15,Ncess,B5,15,2.966192937,5.84,8,202.13,61,2.951749404,9721,2548,3.815149137,1.118329,0.537802,54
NN20_1,N20,Ncess,B1,20,3.162585531,5.8,7,233.37,46,3.291790299,10153,2290,4.433624454,1.259839,0.647429,47
NN20_2,N20,Ncess,B2,20,3.127329388,6.1,7,220.38,34,3.419497024,10404,2531,4.11062821,0.908287,0.466767,41
NN20_3,N20,Ncess,B3,20,6.799632807,6.08,8,306.55,38,3.493147726,10417,2495,4.175150301,1.940874,0.933363,50
NN20_4,N20,Ncess,B4,20,7.12213651,6.06,5,260.65,50,3.25715528,10133,2398,4.225604671,0.187749,0.116655,60
NN20_5,N20,Ncess,B5,20,2.613396269,5.76,8,236.92,47,3.254187405,9909,2405,4.12016632,1.363185,0.655554,57
NN50_1,N50,Ncess,B1,50,10.71936625,5.14,7,426.94,35,3.530842904,11181,1691,6.612063868,1.053387,0.541334,40
NN50_2,N50,Ncess,B2,50,6.521890937,5.42,7,212.41,73,3.606573937,11225,2114,5.309839167,0.411233,0.211332,78
NN50_3,N50,Ncess,B3,50,6.301981663,6.61,6,274.81,68,3.436350189,10978,2386,4.601005868,1.39782,0.780138,58
NN50_4,N50,Ncess,B4,50,7.852251488,4.89,3,402.46,79,3.797951297,10767,1873,5.748531767,0.342226,0.311507,86
NN50_5,N50,Ncess,B5,50,5.376993753,4.81,5,247.35,52,3.615795087,10801,1602,6.742197253,0.738595,0.458915,54
