"","x"
"OTU4867",0
"OTU10731",0
"OTU6732",0
"OTU10053",0
"OTU12064",0
"OTU7785",0
"OTU4980",1.11022302462516e-16
"OTU5945",1.11022302462516e-16
"OTU3835",0
"OTU5726",0
"OTU6413",0
"OTU11677",0
"OTU11390",0
"OTU9308",0
"OTU98",0
"OTU12022",0
"OTU11896",0
"OTU10441",0
"OTU10507",0
"OTU10854",1.11022302462516e-16
"OTU10393",0
"OTU7181",0
"OTU11763",0
"OTU11016",0
"OTU7927",0
"OTU1182",0
"OTU11709",1.11022302462516e-16
"OTU10485",0
"OTU10501",1.11022302462516e-16
"OTU432",0
"OTU732",0
"OTU5425",0
"OTU2718",0
"OTU453",0
"OTU6392",0
"OTU8669",0
"OTU403",0
"OTU2976",0
"OTU9411",0
"OTU10437",1.11022302462516e-16
"OTU6789",0
"OTU5289",0
"OTU5392",1.11022302462516e-16
"OTU5942",0
"OTU6209",1.11022302462516e-16
"OTU9727",0
"OTU9518",0
"OTU2800",0
"OTU6418",0
"OTU6218",0
"OTU1897",0
"OTU5814",0
"OTU3958",0
"OTU1278",1.11022302462516e-16
"OTU4871",0
"OTU12011",0
"OTU3385",0
"OTU5356",0
"OTU4716",0
"OTU7140",0
"OTU5037",0
"OTU9218",0
"OTU10806",0
"OTU4240",0
"OTU271",0
"OTU4601",0
"OTU10088",0
"OTU9823",0
"OTU11022",0
"OTU722",0
"OTU1617",0
"OTU467",1.11022302462516e-16
"OTU10101",0
"OTU1492",0
"OTU1363",0
"OTU2219",0
"OTU2014",0
"OTU5973",0
"OTU1504",0
"OTU7401",1.11022302462516e-16
"OTU8464",0
"OTU1526",0
"OTU1890",0
"OTU130",0
"OTU2213",0
"OTU2736",0
"OTU10414",0
"OTU1786",0
"OTU3094",0
"OTU5006",0
"OTU4948",0
"OTU10267",0
"OTU2553",0
"OTU11276",0
"OTU944",0
"OTU9820",0
"OTU6290",0
"OTU6873",0
"OTU811",0
"OTU8199",0
"OTU4350",0
"OTU3883",0
"OTU5469",0
"OTU5048",0
"OTU2945",0
"OTU9318",0
"OTU35",0
"OTU8415",0
"OTU11740",0
"OTU633",0
"OTU2729",0
"OTU3725",0
"OTU5290",1.11022302462516e-16
"OTU12100",0
"OTU11076",0
"OTU2520",0
"OTU5497",0
"OTU2658",0
"OTU12139",1.11022302462516e-16
"OTU10868",0
"OTU2311",0
"OTU10369",1.11022302462516e-16
"OTU8171",0
"OTU145",0
"OTU1940",0
"OTU11766",0
"OTU228",0
"OTU4245",1.11022302462516e-16
"OTU2084",0
"OTU2448",0
"OTU7538",0
"OTU12145",0
"OTU11170",0
"OTU8665",0
"OTU7293",0
"OTU7239",0
"OTU9653",0
"OTU8244",0
"OTU7494",0
"OTU6119",0
"OTU679",0
"OTU4960",0
"OTU11785",1.11022302462516e-16
