"","x"
"OTU10207",0
"OTU9876",0
"OTU8405",0
"OTU3615",0
"OTU8056",0
"OTU11131",0
"OTU8643",0
"OTU3907",0
"OTU11823",0
"OTU7607",0
"OTU1964",0
"OTU10446",0
"OTU6610",0
"OTU9566",0
"OTU9193",0
"OTU784",0
"OTU8194",0
"OTU11275",0
"OTU516",0
"OTU8434",0
"OTU4184",0
"OTU10003",0
"OTU2311",0
"OTU4197",0
"OTU9175",0
"OTU5653",0
"OTU5996",0
"OTU404",0
"OTU1791",0
"OTU241",0
"OTU169",0
"OTU7626",0
"OTU8252",0
"OTU4565",0
"OTU9330",0
"OTU3967",0
"OTU10294",0
"OTU9129",0
"OTU7662",1.11022302462516e-16
"OTU689",0
"OTU3961",0
"OTU1576",0
"OTU4844",0
"OTU11424",0
"OTU7694",0
"OTU3060",0
"OTU7638",0
"OTU9862",0
"OTU5047",1.11022302462516e-16
"OTU3412",0
"OTU4500",0
"OTU1640",0
"OTU496",0
"OTU2501",0
"OTU10534",0
"OTU3658",0
"OTU12237",0
"OTU471",0
"OTU6337",0
"OTU3397",0
"OTU5771",0
"OTU1393",0
"OTU9361",0
"OTU8113",0
"OTU401",0
"OTU4963",0
"OTU11152",0
"OTU9915",0
"OTU5835",0
"OTU1593",0
"OTU4423",0
"OTU5966",0
"OTU10616",0
"OTU4810",0
"OTU9940",0
"OTU2712",1.11022302462516e-16
"OTU9588",0
"OTU1998",0
"OTU6343",0
"OTU8224",0
"OTU840",0
"OTU1547",0
"OTU7433",0
"OTU1564",0
"OTU9313",0
"OTU11519",0
"OTU5897",0
"OTU10445",0
"OTU4106",0
"OTU11281",1.11022302462516e-16
"OTU11463",0
"OTU1059",0
"OTU11887",0
"OTU9364",0
"OTU5322",0
"OTU2189",0
"OTU10768",0
"OTU4548",0
"OTU9213",0
"OTU11089",0
"OTU4943",0
"OTU11457",0
"OTU9439",0
"OTU374",0
"OTU8883",0
"OTU9227",0
"OTU7721",0
"OTU11904",0
"OTU947",0
"OTU208",0
"OTU9956",0
"OTU649",0
"OTU3380",0
"OTU5427",0
"OTU10065",0
"OTU3260",0
"OTU9932",0
"OTU11051",0
"OTU5023",0
"OTU10613",0
"OTU11981",0
"OTU3109",0
"OTU5363",0
"OTU9703",0
"OTU924",0
"OTU2959",0
"OTU3252",0
"OTU3789",0
"OTU11243",1.11022302462516e-16
"OTU6205",0
"OTU655",0
"OTU3715",0
"OTU2906",0
"OTU4332",0
"OTU310",1.11022302462516e-16
"OTU11042",0
"OTU1936",0
"OTU7606",0
"OTU8133",0
"OTU11542",0
"OTU1607",0
"OTU3191",0
"OTU6196",0
"OTU4668",0
"OTU104",0
"OTU1024",0
"OTU1720",0
"OTU2335",0
"OTU5714",0
"OTU3410",0
"OTU2912",0
"OTU9415",0
"OTU12189",0
"OTU5740",0
"OTU306",0
"OTU1983",0
"OTU6683",0
"OTU1351",0
"OTU5559",0
"OTU1939",0
"OTU1231",0
"OTU4466",0
"OTU2558",0
"OTU9556",0
"OTU5684",0
"OTU4828",0
"OTU457",0
"OTU10410",0
"OTU2624",0
"OTU626",0
"OTU5444",0
"OTU25",0
"OTU8365",0
"OTU3348",0
"OTU646",0
"OTU78",0
"OTU297",1.11022302462516e-16
"OTU11156",0
"OTU5285",0
"OTU11813",0
"OTU2322",0
"OTU8407",0
"OTU323",0
"OTU2185",0
"OTU1730",0
"OTU3313",0
"OTU2550",0
"OTU8524",0
"OTU6150",0
"OTU2811",0
"OTU2668",0
"OTU4172",0
"OTU3783",0
"OTU1048",0
"OTU3043",0
"OTU4589",0
"OTU2802",0
"OTU2027",0
"OTU5008",0
"OTU1146",0
"OTU2818",0
"OTU650",0
"OTU10149",0
"OTU9674",0
"OTU7956",0
"OTU10895",0
"OTU7669",0
"OTU394",0
"OTU8441",0
"OTU7839",0
"OTU4818",0
"OTU7998",0
"OTU2434",0
"OTU3620",0
"OTU11482",0
"OTU11472",1.11022302462516e-16
"OTU246",0
"OTU12263",0
"OTU11023",0
"OTU10673",0
"OTU2801",0
"OTU9614",0
"OTU6551",0
"OTU9357",0
"OTU254",0
"OTU9097",0
"OTU890",0
"OTU1935",1.11022302462516e-16
"OTU8068",0
"OTU7605",0
"OTU5494",0
"OTU8600",0
"OTU7507",0
"OTU7543",0
"OTU7016",0
"OTU390",0
"OTU3062",0
"OTU7475",0
"OTU1124",0
"OTU4613",0
"OTU1107",0
"OTU8419",0
"OTU2295",0
"OTU11634",0
"OTU9374",0
"OTU7907",0
"OTU7806",0
"OTU6946",0
"OTU3081",0
"OTU6257",0
"OTU3113",0
"OTU7715",0
"OTU922",0
"OTU8653",0
"OTU4209",0
"OTU10696",0
"OTU5988",0
"OTU3118",0
"OTU1574",0
"OTU2862",0
"OTU3390",0
"OTU11911",0
"OTU4623",0
"OTU11255",0
"OTU11892",0
"OTU5454",0
"OTU3776",0
"OTU18",0
"OTU1331",1.11022302462516e-16
"OTU6877",0
"OTU11607",0
"OTU11375",0
"OTU9498",0
"OTU7983",0
"OTU8410",0
"OTU1938",0
"OTU9618",0
"OTU654",0
"OTU6102",0
"OTU11581",0
"OTU4491",0
"OTU7120",0
"OTU8825",0
"OTU2842",0
"OTU2656",0
"OTU6029",0
"OTU270",0
"OTU1249",0
"OTU7209",0
"OTU9238",0
"OTU5547",0
"OTU9305",0
"OTU9921",0
"OTU7968",0
"OTU4510",0
"OTU8268",0
"OTU10988",0
"OTU7429",0
"OTU5758",0
"OTU10601",0
"OTU6350",0
"OTU4633",0
"OTU1862",0
"OTU6375",0
"OTU12294",0
"OTU486",0
"OTU7462",0
"OTU2952",0
"OTU9172",0
"OTU8526",0
"OTU8120",0
"OTU9535",0
"OTU10859",0
"OTU176",0
"OTU6291",0
"OTU3133",0
"OTU11696",0
"OTU12139",0
"OTU11172",0
"OTU1956",0
"OTU754",0
"OTU4738",0
"OTU5139",0
"OTU12296",0
"OTU8735",0
"OTU10236",0
"OTU10653",0
"OTU965",0
"OTU6315",0
"OTU10026",0
"OTU21",0
"OTU3035",0
"OTU7684",0
"OTU3387",0
"OTU8047",0
"OTU8052",0
"OTU9315",0
"OTU449",0
"OTU5510",0
"OTU4819",0
"OTU5462",0
"OTU3100",0
"OTU8230",0
"OTU8702",0
"OTU8457",0
"OTU758",0
"OTU9590",0
"OTU3417",0
"OTU767",0
"OTU6175",0
"OTU5849",0
"OTU3107",0
"OTU10188",0
"OTU3571",0
"OTU1613",0
"OTU5783",0
"OTU5162",0
"OTU6137",0
"OTU8180",0
"OTU5518",0
"OTU6756",0
"OTU3335",0
"OTU1256",0
"OTU11511",0
"OTU5753",0
"OTU9431",0
"OTU5472",0
"OTU8303",0
"OTU9500",0
"OTU5398",0
"OTU198",0
"OTU7073",0
"OTU11204",0
"OTU9587",0
"OTU5161",0
"OTU3176",0
"OTU4812",0
"OTU7696",0
"OTU2640",0
"OTU5273",0
"OTU10471",0
"OTU1169",0
"OTU2776",0
"OTU10056",0
"OTU8615",0
"OTU7756",0
"OTU5733",0
"OTU7821",0
"OTU6459",0
"OTU10299",0
"OTU9664",0
"OTU3753",0
"OTU3725",0
"OTU12058",0
"OTU6673",0
"OTU2380",0
"OTU11135",0
"OTU8391",0
"OTU11785",0
"OTU6855",0
"OTU2270",0
"OTU9162",0
"OTU9877",0
"OTU3226",0
"OTU4356",0
"OTU8037",0
"OTU8374",0
"OTU4721",0
"OTU7698",0
"OTU468",0
"OTU9165",0
"OTU6404",0
"OTU5795",0
"OTU1149",0
"OTU12144",0
"OTU1318",0
"OTU916",0
"OTU199",0
"OTU8336",0
"OTU9594",0
"OTU3400",0
"OTU8468",0
"OTU10900",0
"OTU9928",0
"OTU4296",0
"OTU3453",0
"OTU2857",0
"OTU1701",0
"OTU5179",0
"OTU2758",0
"OTU3443",0
"OTU8078",0
"OTU8163",0
"OTU10252",0
"OTU11595",0
"OTU8661",0
"OTU9091",0
"OTU6933",0
"OTU5539",0
"OTU4871",0
"OTU2865",0
"OTU4851",0
"OTU11399",0
"OTU1890",0
"OTU11975",0
"OTU8471",0
"OTU620",0
"OTU6326",0
"OTU7579",0
"OTU1714",0
"OTU4726",0
"OTU5290",0
"OTU5497",0
"OTU9958",0
"OTU11766",0
"OTU2536",0
"OTU5919",0
"OTU8357",0
"OTU6118",0
"OTU628",0
"OTU580",0
"OTU6516",0
"OTU4976",0
"OTU3416",0
"OTU4330",0
"OTU3287",0
"OTU2353",0
"OTU6051",0
"OTU11761",0
"OTU6392",0
"OTU1067",0
"OTU6358",0
"OTU11294",0
"OTU130",0
"OTU10761",0
"OTU6313",0
"OTU11996",0
"OTU4063",0
"OTU10772",0
"OTU11773",0
"OTU6675",0
"OTU6321",0
"OTU5938",0
"OTU6033",0
"OTU5423",0
"OTU9368",0
"OTU11158",0
"OTU11162",0
"OTU8351",0
"OTU777",0
"OTU4290",0
"OTU11676",0
"OTU1678",0
"OTU7175",0
"OTU1090",0
"OTU5289",0
"OTU1992",0
"OTU3807",0
"OTU12269",0
"OTU8322",0
"OTU5548",0
"OTU979",0
"OTU11034",0
"OTU11536",0
"OTU7928",0
"OTU3149",0
"OTU2001",0
"OTU7186",0
"OTU10868",0
"OTU3386",0
"OTU2448",0
"OTU63",0
"OTU5785",0
"OTU39",0
"OTU2472",0
"OTU5762",0
"OTU3799",0
"OTU5652",0
"OTU6614",0
"OTU1559",0
"OTU5027",0
"OTU8580",0
"OTU8689",0
"OTU7377",0
"OTU1320",0
"OTU12141",0
"OTU10870",0
"OTU1643",0
"OTU12206",0
"OTU2588",0
"OTU8353",0
"OTU1760",0
"OTU866",0
"OTU6994",0
"OTU10797",0
"OTU7492",0
"OTU7487",0
"OTU11665",0
"OTU10145",0
"OTU538",0
"OTU8074",0
"OTU7431",0
"OTU9428",0
"OTU5754",0
"OTU10860",0
"OTU7862",0
"OTU4609",0
"OTU9387",0
"OTU6645",0
"OTU8791",0
"OTU3032",0
"OTU3352",0
"OTU5155",0
"OTU1079",0
"OTU2774",0
"OTU8879",0
"OTU6092",0
"OTU3004",0
"OTU7187",0
"OTU6884",0
"OTU7835",0
"OTU4923",0
"OTU864",0
"OTU7414",0
"OTU3942",0
"OTU6165",0
"OTU942",0
"OTU9247",0
"OTU12312",0
"OTU8507",0
"OTU6854",0
"OTU1443",0
"OTU6846",0
"OTU6718",0
"OTU2895",0
"OTU11650",0
"OTU6703",0
"OTU8094",0
"OTU9937",0
"OTU10",0
"OTU1702",0
"OTU5751",0
"OTU6101",0
"OTU11637",0
"OTU11955",0
"OTU772",0
"OTU10256",0
"OTU9735",0
"OTU6783",0
"OTU7846",0
"OTU5533",0
"OTU6992",0
"OTU10788",0
"OTU4428",0
"OTU5055",0
"OTU5945",0
"OTU7109",0
"OTU3835",0
"OTU5982",0
"OTU11677",0
"OTU8318",0
"OTU8418",0
"OTU567",0
"OTU3243",0
"OTU1534",0
"OTU5009",0
"OTU10354",0
"OTU7286",0
"OTU6479",0
"OTU6813",0
"OTU11147",0
"OTU9265",0
"OTU5833",0
"OTU5002",0
"OTU12132",0
"OTU1713",0
"OTU1303",0
"OTU10103",0
"OTU8238",0
"OTU6159",0
"OTU1042",0
"OTU3408",0
"OTU5708",0
"OTU3222",0
"OTU2843",0
"OTU6651",0
"OTU177",0
"OTU9140",0
"OTU4049",0
"OTU5378",0
"OTU7615",0
"OTU3461",0
"OTU5199",0
"OTU8379",0
"OTU5590",0
"OTU11612",0
"OTU6458",0
"OTU4187",0
"OTU8284",0
"OTU7743",0
"OTU4899",0
"OTU5422",0
"OTU2504",0
"OTU8146",0
"OTU8464",0
"OTU3975",0
"OTU8270",0
"OTU2725",0
"OTU3094",0
"OTU6791",0
"OTU1700",0
"OTU8373",0
"OTU7568",0
"OTU8890",0
"OTU5609",0
"OTU2620",0
"OTU12258",0
"OTU1870",0
"OTU3020",0
"OTU6433",0
"OTU2749",0
"OTU953",0
"OTU3537",0
"OTU10430",0
"OTU9905",0
"OTU4544",0
"OTU9949",0
