"","x"
"OTU12",0
"OTU1294",0
"OTU6385",0
"OTU1503",0
"OTU2361",0
"OTU9160",0
"OTU176",0
"OTU12313",0
"OTU2683",0
"OTU1964",0
"OTU11818",0
"OTU9437",0
"OTU11520",0
"OTU9566",0
"OTU9193",0
"OTU11996",0
"OTU2067",0
"OTU1565",0
"OTU6880",0
"OTU10003",0
"OTU9104",0
"OTU4197",0
"OTU7255",0
"OTU3778",0
"OTU6801",0
"OTU1510",0
"OTU3734",0
"OTU11265",0
"OTU9678",0
"OTU4991",0
"OTU12140",0
"OTU6426",0
"OTU10294",0
"OTU639",0
"OTU4410",0
"OTU6407",0
"OTU6365",0
"OTU3949",0
"OTU949",0
"OTU7694",0
"OTU2519",0
"OTU10548",0
"OTU9185",0
"OTU11832",0
"OTU10045",0
"OTU9076",0
"OTU12081",0
"OTU7053",0
"OTU10415",0
"OTU8561",0
"OTU11144",0
"OTU11919",0
"OTU11373",0
"OTU2896",0
"OTU4799",0
"OTU9889",0
"OTU2501",0
"OTU6070",0
"OTU10534",0
"OTU507",0
"OTU4258",0
"OTU7595",0
"OTU471",0
"OTU11877",0
"OTU11727",0
"OTU3371",0
"OTU221",0
"OTU5971",0
"OTU3912",0
"OTU3973",0
"OTU6370",0
"OTU10947",0
"OTU6034",0
"OTU4180",0
"OTU10044",0
"OTU5046",0
"OTU8536",0
"OTU12012",0
"OTU2277",0
"OTU10066",0
"OTU5409",0
"OTU1659",0
"OTU5985",0
"OTU10319",0
"OTU6650",0
"OTU7452",0
"OTU4156",0
"OTU6850",0
"OTU5600",0
"OTU9442",0
"OTU8126",0
"OTU8528",0
"OTU8799",0
"OTU4987",0
"OTU6206",0
"OTU2661",0
"OTU3272",0
"OTU8959",0
"OTU10656",0
"OTU468",0
"OTU10079",0
"OTU7528",0
"OTU9201",0
"OTU6785",0
"OTU1637",0
"OTU6911",0
"OTU10127",0
"OTU122",0
"OTU11999",0
"OTU1564",0
"OTU9604",0
"OTU6866",0
"OTU1008",0
"OTU11519",0
"OTU6012",0
"OTU1149",0
"OTU11817",0
"OTU11225",0
"OTU11463",0
"OTU9315",0
"OTU6306",0
"OTU9397",0
"OTU43",0
"OTU6622",0
"OTU449",0
"OTU3597",0
"OTU6267",0
"OTU8375",0
"OTU5951",0
"OTU9875",0
"OTU6461",0
"OTU8235",0
"OTU10462",0
"OTU9688",0
"OTU9439",0
"OTU8182",0
"OTU163",0
"OTU9828",0
"OTU9908",0
"OTU3380",0
"OTU5517",0
"OTU10065",0
"OTU7634",0
"OTU11332",0
"OTU184",0
"OTU11339",0
"OTU9932",0
"OTU3587",0
"OTU2768",0
"OTU924",0
"OTU3181",0
"OTU1047",0
"OTU11804",0
"OTU9369",0
"OTU1122",0
"OTU5665",0
"OTU3712",0
"OTU1669",0
"OTU11418",0
"OTU1783",0
"OTU618",0
"OTU767",0
"OTU2180",0
"OTU2495",0
"OTU10946",0
"OTU2329",0
"OTU6441",0
"OTU2258",0
"OTU126",0
"OTU7803",0
"OTU2912",0
"OTU5038",0
"OTU1983",0
"OTU10475",0
"OTU6215",0
"OTU492",0
"OTU9331",0
"OTU3699",0
"OTU9715",0
"OTU10635",0
"OTU8651",0
"OTU7948",0
"OTU4584",0
"OTU943",0
"OTU2543",0
"OTU5415",0
"OTU7334",0
"OTU9780",0
"OTU5444",0
"OTU11879",0
"OTU5419",0
"OTU8365",0
"OTU10089",0
"OTU5647",0
"OTU5598",0
"OTU7585",0
"OTU5627",0
"OTU3633",0
"OTU5783",0
"OTU5162",0
"OTU563",0
"OTU9273",0
"OTU7680",0
"OTU7231",0
"OTU3298",0
"OTU9936",0
"OTU2660",0
"OTU10352",0
"OTU2701",0
"OTU2657",0
"OTU4296",0
"OTU8760",0
"OTU12070",0
"OTU7589",0
"OTU2065",0
"OTU7636",0
"OTU6150",0
"OTU255",0
"OTU4110",0
"OTU11230",0
"OTU4587",0
"OTU4206",0
"OTU4210",0
"OTU10058",0
"OTU2217",0
"OTU6927",0
"OTU1276",0
"OTU10092",0
"OTU9890",0
"OTU5472",0
"OTU2459",0
"OTU7665",0
"OTU6339",0
"OTU4102",0
"OTU804",0
"OTU9252",0
"OTU5288",0
"OTU4416",0
"OTU3478",0
