"","x"
"OTU1",0
"OTU10",0
"OTU10015",0
"OTU10034",0
"OTU10054",0
"OTU10056",0
"OTU10065",0
"OTU10079",0
"OTU10093",0
"OTU10103",0
"OTU1012",0
"OTU10205",0
"OTU10208",0
"OTU10216",0
"OTU10247",0
"OTU10256",0
"OTU10267",0
"OTU10322",0
"OTU10326",0
"OTU10356",0
"OTU10363",0
"OTU10366",0
"OTU10374",0
"OTU1042",0
"OTU10457",0
"OTU10492",0
"OTU10507",0
"OTU10522",0
"OTU10562",0
"OTU10586",0
"OTU10601",0
"OTU10607",0
"OTU10609",0
"OTU10617",0
"OTU10653",0
"OTU1067",0
"OTU10673",0
"OTU10757",0
"OTU10761",0
"OTU10789",0
"OTU10792",0
"OTU10797",0
"OTU10814",0.32
"OTU10836",0
"OTU10851",0
"OTU10895",0
"OTU10911",0
"OTU10918",0
"OTU10920",0
"OTU10941",0
"OTU10955",0
"OTU10987",0
"OTU10989",0
"OTU1099",0
"OTU11014",0
"OTU11022",0
"OTU11023",0
"OTU11049",0
"OTU11084",0
"OTU11088",0
"OTU11092",0
"OTU11109",0
"OTU11124",0
"OTU11131",0
"OTU11147",0
"OTU11162",0
"OTU11203",0
"OTU11219",0
"OTU11241",0
"OTU11317",0
"OTU1132",0
"OTU11381",0
"OTU11386",0
"OTU11390",0
"OTU11492",0
"OTU11536",0
"OTU1155",0
"OTU11561",0
"OTU11566",0
"OTU11595",0
"OTU11637",0
"OTU11653",0
"OTU11662",0
"OTU11733",0
"OTU1174",0
"OTU11744",0
"OTU11751",0
"OTU11759",0
"OTU11763",0
"OTU11767",0
"OTU11775",0
"OTU11782",0
"OTU11796",0
"OTU11800",0
"OTU11801",0
"OTU11815",0
"OTU11816",0
"OTU1182",0
"OTU11832",0
"OTU11847",0
"OTU11877",0
"OTU11892",0
"OTU11904",0
"OTU11906",0
"OTU11955",0
"OTU11968",0
"OTU11999",0
"OTU12009",0
"OTU12044",0
"OTU12064",0
"OTU12077",0
"OTU12127",0
"OTU12133",0
"OTU12141",0
"OTU12144",0
"OTU12169",0
"OTU12174",0
"OTU12194",0
"OTU12237",0
"OTU12239",0
"OTU12241",0
"OTU12258",0
"OTU12264",0
"OTU12278",0
"OTU12294",0
"OTU12296",0
"OTU12299",0
"OTU12305",0
"OTU12312",0
"OTU12334",0
"OTU12350",0
"OTU1276",0
"OTU1277",0
"OTU1297",0
"OTU13",0
"OTU1303",0
"OTU1316",0
"OTU1318",0
"OTU1326",0
"OTU1361",0
"OTU137",0
"OTU1393",0
"OTU1398",0
"OTU1443",0
"OTU1455",0
"OTU1507",0
"OTU1522",0
"OTU1526",0
"OTU1579",0
"OTU1588",0
"OTU1613",0
"OTU1637",0
"OTU1640",0
"OTU1643",0
"OTU1655",0
"OTU1657",0
"OTU1662",0
"OTU1665",0
"OTU1666",0
"OTU1687",0
"OTU1700",0
"OTU171",0
"OTU1730",0
"OTU1748",0
"OTU176",0
"OTU1777",0
"OTU1801",0
"OTU1810",0
"OTU1820",0
"OTU1837",0
"OTU1838",0
"OTU1849",0
"OTU1862",0
"OTU1938",0
"OTU1948",0
"OTU1991",0
"OTU200",0
"OTU2014",0
"OTU2021",0
"OTU2039",0
"OTU2044",0
"OTU2058",0
"OTU2070",0
"OTU2083",0
"OTU2090",0
"OTU2111",0
"OTU2155",0
"OTU2180",0
"OTU2199",0
"OTU2243",0
"OTU2250",0
"OTU2258",0
"OTU2277",0
"OTU2284",0
"OTU2288",0
"OTU2376",0
"OTU240",0
"OTU2472",0
"OTU2504",0
"OTU2509",0
"OTU2527",0
"OTU2531",0
"OTU2538",0
"OTU2554",0
"OTU2588",0
"OTU2635",0
"OTU2640",0
"OTU2659",0
"OTU2671",0
"OTU2683",0
"OTU2708",0
"OTU2712",0
"OTU2765",0
"OTU2768",0
"OTU2769",0
"OTU2772",0
"OTU2774",0.32
"OTU2798",0
"OTU2813",0
"OTU2824",0
"OTU2829",0
"OTU2840",0
"OTU285",0
"OTU2857",0
"OTU2865",0
"OTU2869",0
"OTU2870",0
"OTU2876",0
"OTU2879",0
"OTU2895",0
"OTU29",0
"OTU2911",0
"OTU2912",0
"OTU2945",0
"OTU2951",0
"OTU2978",0
"OTU2995",0
"OTU3004",0
"OTU3010",0
"OTU3023",0
"OTU3032",0
"OTU3062",0
"OTU3069",0
"OTU3073",0
"OTU3100",0
"OTU3112",0
"OTU3141",0
"OTU3149",0
"OTU3158",0
"OTU317",0
"OTU318",0
"OTU3195",0
"OTU32",0
"OTU3243",0
"OTU3247",0
"OTU3252",0
"OTU3272",0
"OTU328",0
"OTU3298",0
"OTU332",0.625
"OTU3348",0
"OTU3352",0
"OTU3357",0
"OTU3358",0
"OTU3360",0
"OTU3383",0
"OTU3413",0
"OTU3417",0
"OTU3419",0
"OTU3434",0
"OTU3436",0
"OTU3464",0
"OTU3483",0
"OTU3485",0
"OTU3549",0
"OTU3571",0
"OTU3582",0
"OTU3615",0
"OTU3634",0
"OTU3636",0
"OTU3638",0
"OTU3651",0
"OTU3712",0
"OTU374",0
"OTU3747",0
"OTU3751",0
"OTU3767",0
"OTU3789",0
"OTU3793",0
"OTU3799",0
"OTU3800",0
"OTU3807",0
"OTU3835",0
"OTU3844",0
"OTU3853",0
"OTU3889",0
"OTU390",0
"OTU3907",0
"OTU3909",0
"OTU3912",0
"OTU3927",0
"OTU3942",0
"OTU3975",0.277777777777778
"OTU4039",0
"OTU4052",0
"OTU4078",0
"OTU409",0
"OTU4119",0
"OTU4128",0
"OTU4138",0
"OTU4144",0
"OTU415",0
"OTU4168",0
"OTU4185",0
"OTU4210",0
"OTU4228",0
"OTU4248",0
"OTU4257",0
"OTU426",0
"OTU4277",0
"OTU4341",0
"OTU438",0
"OTU4422",0
"OTU4428",0
"OTU443",0
"OTU4465",0
"OTU452",0
"OTU4568",0
"OTU4589",0
"OTU4593",0
"OTU4609",0
"OTU4613",0
"OTU4622",0
"OTU4623",0
"OTU4641",0
"OTU4675",0
"OTU4692",0
"OTU4715",0
"OTU4726",0
"OTU4736",0
"OTU4746",0
"OTU4768",0
"OTU4770",0
"OTU4775",0
"OTU4777",0
"OTU4873",0
"OTU489",0
"OTU4909",0
"OTU4924",0
"OTU4933",0
"OTU4940",0.375
"OTU4943",0
"OTU4944",0
"OTU4947",0
"OTU4957",0
"OTU4973",0
"OTU4976",0
"OTU4992",0
"OTU5000",0
"OTU5001",0
"OTU5009",0
"OTU5023",0
"OTU5025",0
"OTU5037",0
"OTU5041",0
"OTU5058",0
"OTU5120",0
"OTU5161",0
"OTU520",0
"OTU522",0
"OTU5240",0
"OTU5282",0
"OTU5287",0
"OTU5322",0
"OTU5331",0
"OTU5339",0
"OTU5341",0
"OTU5378",0
"OTU5379",0
"OTU5418",0
"OTU5422",0
"OTU5461",0
"OTU5479",0
"OTU5497",0
"OTU5499",0
"OTU5510",0
"OTU5533",0.32
"OTU5548",0
"OTU5550",0
