"","x"
"OTU12239",0
"OTU5037",0
"OTU6402",0
"OTU467",0
"OTU6821",0
"OTU12274",0
"OTU10363",0
"OTU10418",0
"OTU8056",0
"OTU5970",0
"OTU4052",0
"OTU10859",0
"OTU1560",0
"OTU5320",0
"OTU10489",0
"OTU10259",0
"OTU3693",0
"OTU269",0
"OTU6317",0
"OTU11108",0
"OTU11704",0
"OTU11782",0
"OTU4184",0
"OTU10003",0
"OTU11751",0
"OTU9175",0
"OTU5653",0
"OTU11473",0
"OTU6673",0
"OTU9927",0
"OTU6765",0
"OTU10217",0
"OTU6286",0
"OTU4738",0
"OTU9678",0
"OTU8252",0
"OTU12124",0
"OTU12296",0
"OTU4591",0
"OTU1808",0
"OTU12140",0
"OTU10408",0
"OTU9129",0
"OTU3961",0
"OTU8735",0
"OTU3704",0
"OTU8896",0
"OTU9877",0
"OTU11816",1.11022302462516e-16
"OTU11792",0
"OTU10029",0
"OTU9899",0
"OTU8969",0
"OTU5286",0
"OTU6788",0
"OTU8908",0
"OTU11901",0
"OTU9185",0
"OTU7006",1.11022302462516e-16
"OTU10045",0
"OTU5990",0
"OTU3412",0
"OTU9395",0
"OTU627",0
"OTU2004",0
"OTU5397",0
"OTU9889",0
"OTU4984",0
"OTU6519",0
"OTU21",0
"OTU129",0
"OTU6463",0
"OTU9169",0
"OTU175",0
"OTU1178",0
"OTU7970",0
"OTU1810",0
"OTU2317",0
"OTU2160",0
"OTU5971",0
"OTU3912",0
"OTU1058",0
"OTU10947",0
"OTU7238",0
"OTU1593",0
"OTU6319",0
"OTU4694",0
"OTU6109",0
"OTU7698",0
"OTU11566",0
"OTU9312",0
"OTU607",0
"OTU9515",0
"OTU9165",0
"OTU6911",0
"OTU5778",0
"OTU9313",0
"OTU9523",0
"OTU2899",0
"OTU10541",0
"OTU6306",0
"OTU1455",0
"OTU6622",0
"OTU10018",0
"OTU1542",0
"OTU4819",0
"OTU7644",0
"OTU92",0
"OTU10832",0
"OTU9688",0
"OTU8913",0
"OTU11082",0
"OTU6412",0
"OTU11904",0
"OTU3141",0
"OTU2255",0
"OTU2897",0
"OTU1277",0
"OTU9383",0
"OTU11205",0
"OTU2331",0
"OTU2039",0
"OTU2576",0
"OTU5023",0
"OTU5675",0
"OTU724",0
"OTU9917",0
"OTU3109",0
"OTU5347",0
"OTU2408",0
"OTU8072",0
"OTU9056",0
"OTU1047",0
"OTU3605",0
"OTU7000",0
"OTU2022",0
"OTU9590",0
"OTU1559",0
"OTU3475",0
"OTU9181",0
"OTU7941",0
"OTU11248",0
"OTU4119",0
"OTU8428",0
"OTU8538",1.11022302462516e-16
"OTU2335",0
"OTU3410",0
"OTU1982",0
"OTU1827",0
"OTU4311",0
"OTU6215",0
"OTU1351",0
"OTU7021",0
"OTU2249",0
"OTU9239",0
"OTU10635",0
"OTU2944",0
"OTU7267",0
"OTU4364",0
"OTU10410",0
"OTU3426",0
"OTU5451",0
"OTU9773",0
"OTU5209",0
"OTU3376",0
"OTU4486",0
"OTU10861",0
"OTU2557",0
"OTU7965",0
"OTU6503",0
"OTU744",0
"OTU5627",0
"OTU11458",0
"OTU3633",0
"OTU3298",0
"OTU10060",0
"OTU10843",0
"OTU2701",0
"OTU9928",0
"OTU2809",0
"OTU1250",1.11022302462516e-16
"OTU8636",0
"OTU882",0
"OTU8057",0
"OTU1746",0
"OTU8524",0
"OTU6073",0
"OTU806",0
"OTU5873",0
"OTU4536",0
"OTU8172",0
"OTU4587",1.11022302462516e-16
"OTU6603",0
"OTU7413",0
"OTU1247",1.11022302462516e-16
"OTU4409",0
"OTU11445",0
"OTU6770",0
"OTU11482",0
"OTU1670",0
"OTU4522",0
"OTU4642",0
"OTU6626",0
"OTU3373",0
"OTU5603",0
"OTU4257",0
"OTU8898",0
"OTU9614",0
"OTU4203",0
"OTU3487",0
"OTU2599",0
"OTU9822",0
"OTU9799",0
"OTU9512",0
"OTU7073",1.11022302462516e-16
"OTU8159",0
"OTU7622",0
"OTU9605",0
"OTU10482",0
"OTU3150",0
"OTU7637",0
"OTU3195",0
"OTU6615",0
"OTU12020",0
"OTU9388",0
"OTU2336",0
"OTU372",0
"OTU3560",0
"OTU2635",0
"OTU8383",0
"OTU5690",0
"OTU7111",0
"OTU7668",0
"OTU1772",0
"OTU3158",0
"OTU8904",0
"OTU7689",0
"OTU10024",0
"OTU6946",0
"OTU1302",0
"OTU11456",0
"OTU4900",0
"OTU2731",0
"OTU2111",0
"OTU3113",0
"OTU6964",0
"OTU5014",0
"OTU1152",0
"OTU6438",0
"OTU10366",0
"OTU11578",0
"OTU11118",0
"OTU8081",0
"OTU4712",0
"OTU4783",0
"OTU2287",0
"OTU6938",0
"OTU1728",0
"OTU8778",0
"OTU5619",0
"OTU2473",0
"OTU10109",0
"OTU3099",0
"OTU10098",0
"OTU11607",0
"OTU4489",0
"OTU7983",0
"OTU9744",0
"OTU3393",0
"OTU5551",0
"OTU2179",0
"OTU9618",0
"OTU10112",0
"OTU2842",0
"OTU6444",0
"OTU11917",0
"OTU3514",0
"OTU10787",0
"OTU2292",1.11022302462516e-16
"OTU5677",0
"OTU6618",0
"OTU3396",0
"OTU7209",0
"OTU2643",1.11022302462516e-16
"OTU2884",0
"OTU11998",0
"OTU8840",0
"OTU5352",0
"OTU5509",0
"OTU3256",0
"OTU7968",0
"OTU11891",0
"OTU11475",0
"OTU364",0
"OTU10056",0
"OTU1070",0
"OTU661",0
"OTU330",0
"OTU322",0
"OTU11091",0
"OTU11894",0
"OTU608",0
"OTU7462",0
"OTU7110",0
"OTU7181",0
"OTU4855",0
"OTU4574",0
"OTU487",0
"OTU11383",0
"OTU12253",0
"OTU30",0
"OTU3615",0
"OTU8120",0
"OTU9598",0
"OTU7639",0
"OTU11823",0
"OTU1906",0
"OTU6351",0
"OTU784",0
"OTU10734",0
"OTU9634",0
"OTU2079",0
"OTU11237",0
"OTU754",0
"OTU6119",0
"OTU1712",0
"OTU4410",0
"OTU213",0
"OTU1837",0
"OTU8474",0
"OTU11320",0
"OTU7638",0
"OTU4799",0
"OTU3098",0
"OTU2661",0
"OTU10698",0
"OTU10656",0
"OTU12350",0
"OTU132",0
"OTU8357",0
"OTU5510",0
"OTU2632",0
"OTU8703",0
"OTU9207",0
"OTU11632",0
"OTU2355",0
"OTU10181",0
"OTU1616",0
"OTU143",0
"OTU306",0
"OTU434",0
"OTU966",0
"OTU10188",0
"OTU8882",0
"OTU5798",0
"OTU6889",0
"OTU1140",0
"OTU7636",0
"OTU5089",0
"OTU5582",0
"OTU9593",0
"OTU10149",0
"OTU4976",0
"OTU246",0
"OTU1796",0
"OTU9869",0
"OTU9645",0
"OTU8822",0
"OTU8719",0
"OTU2838",0
"OTU10835",0
"OTU2990",0
"OTU12086",0
"OTU10657",0
"OTU7366",0
"OTU501",0
"OTU9498",0
"OTU3013",0
"OTU6539",0
"OTU2196",0
"OTU8263",0
"OTU10023",0
"OTU11575",0
"OTU6350",0
"OTU2214",0
"OTU1739",0
"OTU9616",0
"OTU200",0
"OTU3084",0
"OTU5497",0
"OTU4740",0
"OTU5050",0
"OTU8348",0
"OTU8867",0
"OTU4830",0
"OTU2027",0
"OTU9630",0
"OTU7016",0
"OTU3039",0
"OTU8412",0
"OTU6349",0
"OTU2070",0
"OTU2207",0
"OTU4521",0
"OTU3956",0
"OTU1587",0
"OTU5461",0
"OTU2082",0
"OTU1885",0
"OTU10869",0
"OTU24",0
"OTU3989",0
"OTU4063",0
"OTU7871",0
"OTU5174",0
"OTU4356",0
"OTU3020",0
"OTU8657",0
"OTU1547",0
"OTU2786",0
"OTU8658",0
"OTU3537",0
"OTU6526",0
"OTU7606",0
"OTU5449",0
"OTU4065",0
"OTU8180",0
"OTU9097",0
"OTU6184",0
"OTU1078",0
"OTU3731",0
"OTU11761",0
"OTU432",0
"OTU6563",0
"OTU9656",0
"OTU3149",0
"OTU2945",0
"OTU6326",0
"OTU7775",0
"OTU8666",0
"OTU3386",0
"OTU7255",0
"OTU8160",0
"OTU7400",0
"OTU7438",0
"OTU3877",0
"OTU9628",0
"OTU4078",0
"OTU8848",0
"OTU5162",0
"OTU2857",0
"OTU7975",0
"OTU9463",0
"OTU5029",0
