"","x"
"1",-0.464420364012824
"2",-0.645497224367903
"3",NA
"4",NA
"5",0.232210182006412
"6",-0.180020574955774
"7",0.956182887467515
"8",NA
"9",NA
"10",NA
"11",-1.82336922335421
"12",-0.464420364012824
"13",-1.56524758424985
"14",-0.866025403784439
"15",-0.408248290463863
"16",NA
"17",NA
"18",0.670820393249937
"19",-0.866025403784439
"20",0.540061724867322
"21",-1.43427433120127
"22",NA
"23",0.956182887467515
"24",1.62547127404488
"25",NA
"26",NA
"27",0.866025403784439
"28",1.63299316185545
"29",NA
"30",NA
"31",NA
"32",-0.239045721866879
"33",-0.577350269189626
"34",NA
"35",-0.577350269189626
"36",NA
"37",-0.322748612183952
"38",0.866025403784439
"39",-1.22474487139159
"40",NA
"41",NA
"42",NA
"43",NA
"44",-1.8576814560513
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",-1.22474487139159
"52",-1.29099444873581
"53",-0.239045721866879
"54",NA
"55",0
"56",-0.464420364012824
"57",0.670820393249937
"58",NA
"59",-1.22474487139159
"60",NA
"61",NA
"62",NA
"63",NA
"64",-0.645497224367903
"65",NA
"66",NA
"67",-0.577350269189626
"68",-1.22474487139159
"69",NA
"70",NA
"71",1.22474487139159
"72",-0.90010287477887
"73",-0.866025403784439
"74",NA
"75",-1.11803398874989
"76",NA
"77",1.22474487139159
"78",NA
"79",NA
"80",NA
"81",NA
"82",-0.90010287477887
"83",-0.322748612183952
"84",NA
"85",NA
"86",NA
"87",-0.866025403784439
"88",NA
"89",0
"90",-0.180020574955774
"91",0
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",0
"98",-0.866025403784439
"99",NA
"100",NA
"101",-1.02564518813674
"102",-0.577350269189626
"103",-0.816496580927726
"104",0.866025403784439
"105",0.866025403784439
"106",NA
"107",NA
"108",NA
"109",0.56980288229819
"110",NA
"111",NA
"112",NA
"113",NA
"114",-0.866025403784439
"115",NA
"116",1.22474487139159
"117",NA
"118",-0.866025403784439
"119",NA
"120",0
"121",NA
"122",-0.577350269189626
"123",NA
"124",NA
"125",NA
"126",0.661437827766148
"127",NA
"128",NA
"129",NA
"130",-0.577350269189626
"131",NA
"132",NA
"133",0.645497224367903
"134",-0.577350269189626
"135",NA
"136",-0.447213595499958
"137",-0.645497224367903
"138",0.956182887467515
"139",0.816496580927726
"140",0.56980288229819
"141",0.232210182006412
"142",NA
"143",-0.90010287477887
"144",NA
"145",NA
"146",NA
"147",NA
"148",NA
"149",1.22474487139159
"150",NA
"151",-0.577350269189626
"152",-1.56524758424985
"153",NA
"154",1.22474487139159
"155",NA
"156",1.15470053837925
"157",0
"158",-0.577350269189626
"159",0.866025403784439
"160",0.866025403784439
"161",0.670820393249937
"162",NA
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",NA
"169",NA
"170",NA
"171",0.232210182006412
"172",NA
"173",NA
"174",-1.4142135623731
"175",NA
"176",NA
"177",NA
"178",0.866025403784439
"179",NA
"180",-0.577350269189626
"181",0
"182",NA
"183",NA
"184",0
"185",-0.577350269189626
"186",0.661437827766148
"187",NA
"188",NA
"189",NA
"190",NA
"191",NA
"192",NA
"193",0.56980288229819
"194",-0.577350269189626
"195",-0.866025403784439
"196",NA
"197",-0.645497224367903
"198",-0.577350269189626
"199",1.15470053837925
"200",0
"201",NA
"202",0
"203",NA
"204",0
"205",NA
"206",1.15470053837925
"207",NA
"208",1.15470053837925
"209",NA
"210",1.29099444873581
"211",-1.16105091003206
"212",NA
"213",NA
"214",NA
"215",NA
"216",-0.866025403784439
"217",NA
"218",NA
"219",NA
"220",0
"221",NA
"222",NA
"223",0.232210182006412
"224",NA
"225",NA
"226",NA
"227",1.11803398874989
"228",0
"229",NA
"230",NA
"231",-1.11803398874989
"232",NA
"233",NA
"234",1.15470053837925
"235",NA
"236",0.670820393249937
"237",NA
"238",1.98022632451351
"239",0.540061724867322
"240",NA
"241",-0.577350269189626
"242",NA
"243",NA
"244",0.661437827766148
"245",-0.408248290463863
"246",-0.816496580927726
"247",1.15470053837925
"248",1.15470053837925
"249",1.62547127404488
"250",NA
"251",NA
"252",0.670820393249937
"253",NA
"254",-0.577350269189626
"255",0.661437827766148
"256",NA
"257",0
"258",NA
"259",0.232210182006412
"260",NA
"261",0.866025403784439
"262",-0.866025403784439
"263",1.4142135623731
"264",-0.239045721866879
"265",-1.43427433120127
"266",-0.322748612183952
"267",1.29099444873581
"268",-0.866025403784439
"269",NA
"270",1.15470053837925
"271",NA
"272",-0.577350269189626
"273",NA
"274",NA
"275",-1.22474487139159
"276",-1.63299316185545
"277",-0.577350269189626
"278",NA
"279",NA
"280",NA
"281",NA
"282",NA
"283",NA
"284",NA
"285",NA
"286",NA
"287",1.61374306091976
"288",NA
"289",0
"290",0.661437827766148
"291",0.56980288229819
"292",NA
"293",NA
"294",0.816496580927726
"295",-1.98431348329844
"296",NA
"297",NA
"298",NA
"299",NA
"300",0
"301",NA
"302",NA
"303",-0.661437827766148
"304",NA
"305",0.866025403784439
"306",NA
"307",NA
"308",NA
"309",NA
"310",NA
"311",0.816496580927726
"312",NA
"313",-0.577350269189626
"314",NA
"315",NA
"316",1.15470053837925
"317",-0.661437827766148
"318",NA
"319",NA
"320",NA
"321",NA
"322",NA
"323",NA
"324",-0.447213595499958
"325",NA
"326",NA
"327",-0.866025403784439
"328",NA
"329",NA
"330",NA
"331",NA
"332",NA
"333",NA
"334",1.15470053837925
"335",NA
"336",NA
"337",NA
"338",NA
"339",NA
"340",NA
"341",NA
"342",NA
"343",NA
"344",NA
"345",NA
"346",NA
"347",-0.866025403784439
"348",NA
"349",NA
"350",NA
"351",NA
"352",NA
"353",NA
"354",NA
"355",NA
"356",NA
"357",NA
"358",NA
"359",NA
"360",NA
"361",-0.577350269189626
"362",0.730296743340221
"363",0.730296743340221
"364",0.866025403784439
"365",-1.09544511501033
"366",NA
"367",NA
"368",NA
"369",-1.09544511501033
"370",NA
"371",NA
"372",NA
"373",0.866025403784439
"374",NA
"375",NA
"376",NA
"377",NA
"378",NA
"379",0.730296743340221
"380",NA
"381",NA
"382",NA
"383",-0.866025403784439
"384",NA
"385",-0.577350269189626
"386",NA
"387",NA
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",NA
"396",NA
"397",NA
"398",NA
"399",NA
"400",0
"401",0.866025403784439
"402",NA
"403",-0.577350269189626
"404",NA
"405",NA
"406",-0.577350269189626
"407",NA
"408",0.56980288229819
"409",NA
"410",1.15470053837925
"411",NA
"412",NA
"413",1.11803398874989
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",-0.256776295506548
"421",0.866025403784439
"422",NA
"423",0
"424",NA
"425",NA
"426",0.866025403784439
"427",NA
"428",0.670820393249937
"429",NA
"430",0.956182887467515
"431",NA
"432",NA
"433",-0.577350269189626
"434",-0.239045721866879
"435",NA
"436",NA
"437",NA
"438",NA
"439",-1.15549332977946
"440",NA
"441",NA
"442",-0.577350269189626
"443",-1.3228756555323
"444",0.377964473009227
"445",0
"446",-1.22474487139159
"447",1.78885438199983
"448",NA
"449",NA
"450",NA
"451",NA
"452",1.15470053837925
"453",NA
"454",1.25988157669742
"455",-0.577350269189626
"456",NA
"457",1.10194633003868
"458",1.11803398874989
"459",NA
"460",NA
"461",NA
"462",NA
"463",NA
"464",NA
"465",0
"466",NA
"467",NA
"468",NA
"469",NA
"470",-1.10194633003868
"471",NA
"472",NA
"473",NA
"474",NA
"475",NA
"476",NA
"477",NA
"478",1.15470053837925
"479",-0.577350269189626
"480",-0.866025403784439
"481",1.15470053837925
"482",NA
"483",-0.577350269189626
"484",NA
"485",NA
"486",-0.894427190999916
"487",-0.256776295506548
"488",NA
"489",-0.50395263067897
"490",NA
"491",-0.866025403784439
"492",-1.10194633003868
"493",NA
"494",0.866025403784439
"495",-0.577350269189626
"496",NA
"497",1.11803398874989
"498",NA
"499",0.64194073876637
"500",0
"501",NA
"502",NA
"503",1.54065777303929
"504",NA
"505",-0.758474845271147
"506",NA
"507",NA
"508",NA
"509",NA
"510",-0.50395263067897
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",1.10194633003868
"518",0.894427190999916
"519",0
"520",-0.894427190999916
"521",NA
"522",1.10194633003868
"523",NA
"524",NA
"525",NA
"526",1.25988157669742
"527",-1.11803398874989
"528",NA
"529",-0.577350269189626
"530",NA
"531",NA
"532",1.22474487139159
"533",-0.866025403784439
"534",-1
"535",0
"536",NA
"537",0
"538",-1.38586973436717
"539",NA
"540",2.02259958738973
"541",-1
"542",0.866025403784439
"543",1.09557477650277
"544",0
"545",1.15470053837925
"546",1
"547",NA
"548",NA
"549",-0.577350269189626
"550",NA
"551",0
"552",-1.10194633003868
"553",NA
"554",NA
"555",NA
"556",0
"557",NA
"558",NA
"559",NA
"560",1
"561",NA
"562",-0.894427190999916
"563",-0.894427190999916
"564",0
"565",-0.5
