sample_name,N,Nadd,Block,Nlevel,DOC,DN,DOC.DN,NH4,NO3,IN,LIN,pH,Cu,Mn,Plant.biomass,Plant.richness,KO.richness,OTU.richness,CN.ratio,virus,OTU.shannon,KO.shannon,Fbratio,rate,rate1,16sShannon.Wiener,16sSimpson,16sobserved_species,plasmidr,plasmids,lgtko1,lgtko2,h.function,AGS
YN10_4,N10,Ncont,B4,10,59.36247553,23.03079957,2.577525602,11.62728271,9.029375032,20.65665774,1.315060054,6.22,0.3248,22.18,235.33,10,9663,2451,2.873769623,4.287754674,6.617744881,8.056169193,0.047562963,3.94247246,0.253647935,3.92939971,0.96988001,97,653,4.481564294,50,3.8979247,1.217358683,3.589636643
YN10_5,N10,Ncont,B5,10,56.82216275,21.15064505,2.686545144,15.9449598,9.304267161,25.24922696,1.402248086,5.48,0.4794,44.16,320.87,7,10002,2367,2.250451582,4.213797918,6.643535316,8.062863631,0.059591471,4.225602028,0.236652669,3.98473257,0.97229282,97,662,4.460624253,59,4.05511604,1.213640516,3.192348302
YN15_1,N15,Ncont,B1,15,53.94808387,49.8297725,1.082647605,31.45194732,17.65383394,49.10578126,1.691132625,5.66,0.4736,35.26,261.81,9,9874,2380,1.098609624,4.206109255,6.631575985,8.058513537,0.072779864,4.148739496,0.241037067,3.915283,0.96974413,98,665,4.441250249,49,3.87746115,1.215173219,3.274288012
YN15_2,N15,Ncont,B2,15,64.34806072,72.49824984,0.887580885,44.43969132,24.02455613,68.46424745,1.835463839,6.99,0.3782,18.434,229.69,6,9991,2513,0.939878303,4.268286963,6.62866075,8.055225361,0.090656068,3.975726224,0.251526374,4.01639541,0.97289451,100,653,4.471554372,35,3.53598308,1.215211589,3.859889682
YN15_3,N15,Ncont,B3,15,110.1005135,68.63394207,1.604170039,38.24489196,23.57308705,61.81797901,1.791114803,7.06,0.3308,21.18,254.67,8,10251,2323,1.781043561,4.347728888,6.744611892,8.061530599,0.082762949,4.412828239,0.226612038,3.95036254,0.9708962,99,660,4.48917763,44,3.78418963,1.195254928,3.279417688
YN15_4,N15,Ncont,B4,15,74.69144583,31.70384721,2.355911109,16.81382979,11.04255319,27.85638298,1.444924725,6.18,0.3316,24.96,263.04,7,9661,2271,2.681304528,4.049218304,6.65321941,8.061012189,0.064809257,4.254073096,0.235068833,3.98661038,0.97203137,100,656,4.482594622,56,4.01873031,1.211595724,3.31074821
YN15_5,N15,Ncont,B5,15,45.49113613,22.02861836,2.065092571,13.98687998,9.359232145,23.34611213,1.368214567,5.64,0.472,37.68,279.32,6,10093,2265,1.94855297,4.303568471,6.580630998,8.062082381,0.103459368,4.45607064,0.224412959,3.94886405,0.97185002,97,663,4.442593276,68,4.181124,1.225122999,3.236505921
YN20_1,N20,Ncont,B1,20,62.19863633,153.1418433,0.406150501,135.636655,34.42629639,170.0629514,2.230609712,4.75,0.4998,61,213.65,6,10879,1996,0.365738897,4.222931808,6.506541412,8.099208051,0.029855472,5.450400802,0.183472746,3.82867779,0.96572679,102,665,4.474834192,67,4.18039568,1.244779298,3.649540546
YN20_2,N20,Ncont,B2,20,58.72873862,178.0435063,0.329856111,319.4861874,36.26946744,355.7556548,2.551151812,6.64,0.4032,28.18,285.92,6,10527,2165,0.165081673,4.269719044,6.189937916,8.071017679,0.045897378,4.862355658,0.205661632,4.01728077,0.97435057,99,658,4.491107617,44,3.78418963,1.303893155,3.469337135
YN20_3,N20,Ncont,B3,20,60.85616805,107.0159193,0.568664629,59.42881296,27.56227898,86.99109194,1.939474782,6.01,0.417,33.16,614.23,7,10349,2359,0.699567814,4.399283759,6.463142248,8.07083976,0.116888793,4.387028402,0.227944729,3.96813661,0.97270771,98,665,4.48454188,56,4.0070479,1.248748589,3.423165669
